profile,distance_m,elevation_m
1,0.0,204.49569702148438
1,4.0,204.01666259765625
1,8.0,203.4895477294922
1,12.0,202.9138946533203
1,16.0,202.29603576660156
1,20.0,201.64356994628906
1,24.0,200.97067260742188
1,28.0,200.2925567626953
1,32.0,199.6214599609375
1,36.0,198.95889282226562
1,40.0,198.2933807373047
1,44.0,197.61700439453125
1,48.0,196.918701171875
1,52.0,196.19451904296875
1,56.0,195.43666076660156
1,60.0,194.64059448242188
1,64.0,193.788330078125
1,68.0,192.87533569335938
1,72.0,191.88436889648438
1,76.0,190.79730224609375
1,80.0,189.59866333007812
1,84.0,188.27825927734375
1,88.0,186.8375244140625
1,92.0,185.27801513671875
1,96.0,183.64537048339844
1,100.0,181.98291015625
1,104.0,180.31546020507812
1,108.0,178.67726135253906
1,112.0,177.0723419189453
1,116.0,175.5248565673828
1,120.0,174.0223388671875
1,124.0,172.58570861816406
1,128.0,171.1892547607422
1,132.0,169.85377502441406
1,136.0,168.5656280517578
1,140.0,167.3512420654297
1,144.0,166.1990966796875
1,148.0,165.12918090820312
1,152.0,164.1308135986328
1,156.0,163.18954467773438
1,160.0,162.2789306640625
1,164.0,161.39776611328125
1,168.0,160.53318786621094
1,172.0,159.68630981445312
1,176.0,158.85108947753906
1,180.0,158.02589416503906
1,184.0,157.19976806640625
1,188.0,156.3699188232422
1,192.0,155.5327606201172
1,196.0,154.698486328125
1,200.0,153.8655548095703
1,204.0,153.0467071533203
1,208.0,152.23924255371094
1,212.0,151.45513916015625
1,216.0,150.6947784423828
1,220.0,149.9571533203125
1,224.0,149.24313354492188
1,228.0,148.54812622070312
1,232.0,147.88101196289062
1,236.0,147.24375915527344
1,240.0,146.65423583984375
1,244.0,146.0988006591797
1,248.0,145.5663604736328
1,252.0,145.04046630859375
1,256.0,144.5136260986328
1,260.0,143.97703552246094
1,264.0,143.43064880371094
1,268.0,142.87295532226562
1,272.0,142.30821228027344
1,276.0,141.73565673828125
1,280.0,141.1593017578125
1,284.0,140.575927734375
1,288.0,139.99240112304688
1,292.0,139.405517578125
1,296.0,138.82325744628906
1,300.0,138.24081420898438
1,304.0,137.65985107421875
1,308.0,137.0706024169922
1,312.0,136.47283935546875
1,316.0,135.85784912109375
1,320.0,135.22496032714844
2,0.0,151.4042510986328
2,4.0,149.88023376464844
2,8.0,148.3990936279297
2,12.0,147.00340270996094
2,16.0,145.65245056152344
2,20.0,144.38394165039062
2,24.0,143.1524200439453
2,28.0,141.98841857910156
2,32.0,140.855712890625
2,36.0,139.770263671875
2,40.0,138.70556640625
2,44.0,137.68682861328125
2,48.0,136.7199249267578
2,52.0,135.8376007080078
2,56.0,135.03744506835938
2,60.0,134.32615661621094
2,64.0,133.67575073242188
2,68.0,133.06918334960938
2,72.0,132.48497009277344
2,76.0,131.92578125
2,80.0,131.37789916992188
2,84.0,130.8499755859375
2,88.0,130.3312530517578
2,92.0,129.83795166015625
2,96.0,129.3609619140625
2,100.0,128.91311645507812
2,104.0,128.48678588867188
2,108.0,128.09405517578125
2,112.0,127.73020935058594
2,116.0,127.40404510498047
2,120.0,127.11719512939453
2,124.0,126.87492370605469
2,128.0,126.66577911376953
2,132.0,126.48600006103516
2,136.0,126.33248138427734
2,140.0,126.20011138916016
2,144.0,126.08666229248047
2,148.0,125.98966217041016
2,152.0,125.91064453125
2,156.0,125.84445190429688
2,160.0,125.78425598144531
2,164.0,125.73321533203125
2,168.0,125.68370056152344
2,172.0,125.64252471923828
2,176.0,125.60261535644531
2,180.0,125.57481384277344
2,184.0,125.55290985107422
2,188.0,125.54598999023438
2,192.0,125.54914855957031
2,196.0,125.5831069946289
2,200.0,125.65072631835938
2,204.0,125.78985595703125
2,208.0,126.00801086425781
2,212.0,126.35999298095703
2,216.0,126.77552795410156
2,220.0,127.22795867919922
2,224.0,127.64099884033203
2,228.0,127.98872375488281
2,232.0,128.24481201171875
2,236.0,128.43692016601562
2,240.0,128.58370971679688
2,244.0,128.73599243164062
2,248.0,128.8966522216797
2,252.0,129.0812530517578
2,256.0,129.27847290039062
2,260.0,129.4906005859375
2,264.0,129.70677185058594
2,268.0,129.92269897460938
2,272.0,130.13070678710938
2,276.0,130.32872009277344
2,280.0,130.5172882080078
2,284.0,130.69703674316406
2,288.0,130.8695831298828
2,292.0,131.03549194335938
2,296.0,131.19395446777344
2,300.0,131.34109497070312
2,304.0,131.47518920898438
2,308.0,131.59275817871094
2,312.0,131.69146728515625
2,316.0,131.7657470703125
2,320.0,131.8176727294922
3,0.0,173.47610473632812
3,4.0,172.3069610595703
3,8.0,171.0453643798828
3,12.0,169.697509765625
3,16.0,168.2777557373047
3,20.0,166.79544067382812
3,24.0,165.26841735839844
3,28.0,163.7284698486328
3,32.0,162.2277069091797
3,36.0,160.8161163330078
3,40.0,159.48875427246094
3,44.0,158.2105255126953
3,48.0,156.9344024658203
3,52.0,155.6165008544922
3,56.0,154.23114013671875
3,60.0,152.77342224121094
3,64.0,151.26214599609375
3,68.0,149.7439727783203
3,72.0,148.25927734375
3,76.0,146.83644104003906
3,80.0,145.49307250976562
3,84.0,144.22544860839844
3,88.0,143.02137756347656
3,92.0,141.88575744628906
3,96.0,140.82559204101562
3,100.0,139.85658264160156
3,104.0,138.9676513671875
3,108.0,138.1425323486328
3,112.0,137.36073303222656
3,116.0,136.60726928710938
3,120.0,135.8880157470703
3,124.0,135.208740234375
3,128.0,134.56732177734375
3,132.0,133.93862915039062
3,136.0,133.29110717773438
3,140.0,132.58079528808594
3,144.0,131.77403259277344
3,148.0,130.85336303710938
3,152.0,129.83493041992188
3,156.0,128.8080596923828
3,160.0,127.85208129882812
3,164.0,127.02506256103516
