profile,distance_m,elevation_m
1,0.0,171.78724670410156
1,4.0,171.41810607910156
1,8.0,171.05735778808594
1,12.0,170.71188354492188
1,16.0,170.37974548339844
1,20.0,170.0558319091797
1,24.0,169.73460388183594
1,28.0,169.407958984375
1,32.0,169.06326293945312
1,36.0,168.68199157714844
1,40.0,168.24029541015625
1,44.0,167.73272705078125
1,48.0,167.16952514648438
1,52.0,166.57582092285156
1,56.0,165.98358154296875
1,60.0,165.42282104492188
1,64.0,164.90431213378906
1,68.0,164.42214965820312
1,72.0,163.961181640625
1,76.0,163.50950622558594
1,80.0,163.0531768798828
1,84.0,162.5892791748047
1,88.0,162.12196350097656
1,92.0,161.65771484375
1,96.0,161.20274353027344
1,100.0,160.76461791992188
1,104.0,160.3433837890625
1,108.0,159.93023681640625
1,112.0,159.50735473632812
1,116.0,159.06137084960938
1,120.0,158.58746337890625
1,124.0,158.09132385253906
1,128.0,157.5861053466797
1,132.0,157.08799743652344
1,136.0,156.60284423828125
1,140.0,156.1330108642578
1,144.0,155.67788696289062
1,148.0,155.24203491210938
1,152.0,154.81979370117188
1,156.0,154.40606689453125
1,160.0,154.0009002685547
1,164.0,153.60574340820312
1,168.0,153.22373962402344
1,172.0,152.84974670410156
1,176.0,152.48348999023438
1,180.0,152.1245880126953
1,184.0,151.77322387695312
1,188.0,151.4278106689453
1,192.0,151.08596801757812
1,196.0,150.74624633789062
1,200.0,150.4077606201172
1,204.0,150.07061767578125
1,208.0,149.73524475097656
1,212.0,149.40316772460938
1,216.0,149.07647705078125
1,220.0,148.75726318359375
1,224.0,148.44740295410156
1,228.0,148.14833068847656
1,232.0,147.8591766357422
1,236.0,147.5758819580078
1,240.0,147.289306640625
1,244.0,146.99209594726562
1,248.0,146.68045043945312
1,252.0,146.35848999023438
1,256.0,146.03587341308594
1,260.0,145.7224884033203
1,264.0,145.42300415039062
1,268.0,145.1344757080078
1,272.0,144.85159301757812
1,276.0,144.57118225097656
1,280.0,144.29261779785156
1,284.0,144.01695251464844
1,288.0,143.74571228027344
1,292.0,143.48065185546875
1,296.0,143.2235870361328
1,300.0,142.97470092773438
1,304.0,142.7327880859375
1,308.0,142.49505615234375
1,312.0,142.25991821289062
1,316.0,142.02781677246094
1,320.0,141.8017120361328
2,0.0,168.51715087890625
2,4.0,168.04786682128906
2,8.0,167.59341430664062
2,12.0,167.16268920898438
2,16.0,166.75534057617188
2,20.0,166.3656463623047
2,24.0,165.982421875
2,28.0,165.59686279296875
2,32.0,165.2071990966797
2,36.0,164.8146514892578
2,40.0,164.41986083984375
2,44.0,164.02088928222656
2,48.0,163.60958862304688
2,52.0,163.17202758789062
2,56.0,162.69261169433594
2,60.0,162.16319274902344
2,64.0,161.5884246826172
2,68.0,160.98497009277344
2,72.0,160.37579345703125
2,76.0,159.7882080078125
2,80.0,159.2284698486328
2,84.0,158.69345092773438
2,88.0,158.17576599121094
2,92.0,157.6693115234375
2,96.0,157.17047119140625
2,100.0,156.68026733398438
2,104.0,156.20574951171875
2,108.0,155.75238037109375
2,112.0,155.32090759277344
2,116.0,154.90711975097656
2,120.0,154.502685546875
2,124.0,154.0976104736328
2,128.0,153.6837158203125
2,132.0,153.25779724121094
2,136.0,152.8218231201172
2,140.0,152.3824462890625
2,144.0,151.94869995117188
2,148.0,151.531005859375
2,152.0,151.1350860595703
2,156.0,150.7627410888672
2,160.0,150.4138641357422
2,164.0,150.0865020751953
2,168.0,149.77732849121094
2,172.0,149.47781372070312
2,176.0,149.18215942382812
2,180.0,148.885009765625
2,184.0,148.58285522460938
2,188.0,148.27200317382812
2,192.0,147.95050048828125
2,196.0,147.62034606933594
2,200.0,147.2864990234375
2,204.0,146.95791625976562
2,208.0,146.6375274658203
2,212.0,146.3275146484375
2,216.0,146.02517700195312
2,220.0,145.72573852539062
2,224.0,145.4245147705078
2,228.0,145.12130737304688
2,232.0,144.82289123535156
2,236.0,144.5368194580078
2,240.0,144.26780700683594
2,244.0,144.0115966796875
2,248.0,143.76223754882812
2,252.0,143.51345825195312
2,256.0,143.2611541748047
2,260.0,143.0039520263672
2,264.0,142.74278259277344
2,268.0,142.4802703857422
2,272.0,142.2181396484375
2,276.0,141.9584197998047
2,280.0,141.70069885253906
2,284.0,141.44569396972656
2,288.0,141.19415283203125
2,292.0,140.9473876953125
2,296.0,140.70770263671875
2,300.0,140.475830078125
2,304.0,140.25697326660156
2,308.0,140.05767822265625
2,312.0,139.88539123535156
2,316.0,139.74209594726562
2,320.0,139.6256561279297
3,0.0,171.1840362548828
3,4.0,170.78758239746094
3,8.0,170.33657836914062
3,12.0,169.84803771972656
3,16.0,169.34732055664062
3,20.0,168.85806274414062
3,24.0,168.39581298828125
3,28.0,167.966064453125
3,32.0,167.56300354003906
3,36.0,167.17532348632812
3,40.0,166.79129028320312
3,44.0,166.40243530273438
3,48.0,166.00355529785156
3,52.0,165.5931396484375
3,56.0,165.1724853515625
3,60.0,164.74407958984375
3,64.0,164.309814453125
3,68.0,163.87136840820312
3,72.0,163.43003845214844
3,76.0,162.9888153076172
3,80.0,162.54661560058594
3,84.0,162.1017608642578
3,88.0,161.65284729003906
3,92.0,161.20034790039062
3,96.0,160.745849609375
3,100.0,160.28871154785156
3,104.0,159.82916259765625
3,108.0,159.36453247070312
3,112.0,158.88424682617188
3,116.0,158.38197326660156
3,120.0,157.85398864746094
3,124.0,157.3020782470703
3,128.0,156.73529052734375
3,132.0,156.16690063476562
3,136.0,155.61546325683594
3,140.0,155.0903778076172
3,144.0,154.59506225585938
3,148.0,154.12939453125
3,152.0,153.69064331054688
3,156.0,153.2736358642578
3,160.0,152.87295532226562
3,164.0,152.48388671875
3,168.0,152.1022491455078
3,172.0,151.72390747070312
3,176.0,151.34710693359375
3,180.0,150.97178649902344
3,184.0,150.59915161132812
3,188.0,150.23123168945312
3,192.0,149.8708038330078
3,196.0,149.52145385742188
3,200.0,149.1864776611328
3,204.0,148.86802673339844
3,208.0,148.56398010253906
3,212.0,148.27027893066406
3,216.0,147.98208618164062
3,220.0,147.69554138183594
3,224.0,147.40809631347656
3,228.0,147.11859130859375
3,232.0,146.82733154296875
3,236.0,146.53599548339844
3,240.0,146.24557495117188
3,244.0,145.9573211669922
3,248.0,145.66769409179688
3,252.0,145.37022399902344
3,256.0,145.0597381591797
3,260.0,144.73800659179688
3,264.0,144.41749572753906
3,268.0,144.11123657226562
3,272.0,143.82598876953125
3,276.0,143.55670166015625
3,280.0,143.29759216308594
3,284.0,143.04019165039062
3,288.0,142.77874755859375
3,292.0,142.51095581054688
3,296.0,142.23716735839844
3,300.0,141.96096801757812
3,304.0,141.68527221679688
3,308.0,141.4122772216797
3,312.0,141.14239501953125
3,316.0,140.8753662109375
3,320.0,140.6110382080078
