profile,distance_m,elevation_m
1,0.0,143.3473358154297
1,4.0,142.9037322998047
1,8.0,142.44949340820312
1,12.0,141.9871368408203
1,16.0,141.52110290527344
1,20.0,141.0501251220703
1,24.0,140.57008361816406
1,28.0,140.07449340820312
1,32.0,139.558349609375
1,36.0,139.0181121826172
1,40.0,138.45169067382812
1,44.0,137.86199951171875
1,48.0,137.25921630859375
1,52.0,136.6521453857422
1,56.0,136.05506896972656
1,60.0,135.4750518798828
1,64.0,134.91818237304688
1,68.0,134.3824462890625
1,72.0,133.8633575439453
1,76.0,133.361572265625
1,80.0,132.85995483398438
1,84.0,132.3411865234375
1,88.0,131.8004608154297
1,92.0,131.2557373046875
1,96.0,130.75543212890625
1,100.0,130.3252410888672
1,104.0,129.93173217773438
1,108.0,129.50779724121094
1,112.0,129.01133728027344
1,116.0,128.43115234375
1,120.0,127.81771850585938
1,124.0,127.21902465820312
1,128.0,126.66707611083984
1,132.0,126.15856170654297
1,136.0,125.69974517822266
1,140.0,125.2801284790039
1,144.0,124.8873062133789
1,148.0,124.51759338378906
1,152.0,124.16121673583984
1,156.0,123.81341552734375
1,160.0,123.46775817871094
1,164.0,123.1211929321289
1,168.0,122.77424621582031
1,172.0,122.42784881591797
1,176.0,122.08418273925781
1,180.0,121.74700927734375
1,184.0,121.41593170166016
1,188.0,121.09357452392578
1,192.0,120.78022766113281
1,196.0,120.47610473632812
1,200.0,120.18065643310547
1,204.0,119.88925170898438
1,208.0,119.60005950927734
1,212.0,119.31076049804688
1,216.0,119.0200424194336
1,220.0,118.72931671142578
1,224.0,118.4382553100586
1,228.0,118.14749145507812
1,232.0,117.85762023925781
1,236.0,117.5700912475586
1,240.0,117.28727722167969
1,244.0,117.01069641113281
1,248.0,116.74132537841797
1,252.0,116.48017120361328
1,256.0,116.22425079345703
1,260.0,115.9720687866211
1,264.0,115.72151184082031
1,268.0,115.4715576171875
1,272.0,115.22100830078125
1,276.0,114.97158813476562
1,280.0,114.72467803955078
1,284.0,114.48284149169922
