profile,distance_m,elevation_m
1,0.0,137.3114471435547
1,4.0,136.8197479248047
1,8.0,136.32786560058594
1,12.0,135.83651733398438
1,16.0,135.3477325439453
1,20.0,134.8640594482422
1,24.0,134.3888702392578
1,28.0,133.92333984375
1,32.0,133.46713256835938
1,36.0,133.01791381835938
1,40.0,132.5709991455078
1,44.0,132.12583923339844
1,48.0,131.6841278076172
1,52.0,131.25193786621094
1,56.0,130.83822631835938
1,60.0,130.43992614746094
1,64.0,130.05056762695312
1,68.0,129.65585327148438
1,72.0,129.2425537109375
1,76.0,128.80209350585938
1,80.0,128.3371124267578
1,84.0,127.85425567626953
1,88.0,127.361083984375
1,92.0,126.860107421875
1,96.0,126.3568344116211
1,100.0,125.8488998413086
1,104.0,125.34223175048828
1,108.0,124.84346008300781
1,112.0,124.3552017211914
1,116.0,123.8851089477539
1,120.0,123.42758178710938
1,124.0,122.97953033447266
1,128.0,122.53743743896484
1,132.0,122.09739685058594
1,136.0,121.66329193115234
1,140.0,121.2391357421875
1,144.0,120.83026123046875
1,148.0,120.4409408569336
1,152.0,120.06881713867188
1,156.0,119.7070541381836
1,160.0,119.33916473388672
1,164.0,118.94293212890625
1,168.0,118.48876190185547
1,172.0,117.9570083618164
1,176.0,117.33795166015625
1,180.0,116.64619445800781
1,184.0,115.91609954833984
1,188.0,115.19766235351562
1,192.0,114.53382110595703
1,196.0,113.96082305908203
1,200.0,113.49729919433594
1,204.0,113.13518524169922
1,208.0,112.84988403320312
1,212.0,112.61712646484375
1,216.0,112.44100952148438
1,220.0,112.34728240966797
1,224.0,112.3497085571289
1,228.0,112.4467544555664
1,232.0,112.60720825195312
1,236.0,112.80357360839844
1,240.0,113.02595520019531
1,244.0,113.27550506591797
1,248.0,113.5543441772461
1,252.0,113.85491180419922
1,256.0,114.16767120361328
1,260.0,114.49109649658203
1,264.0,114.82588195800781
1,268.0,115.17830657958984
1,272.0,115.54708099365234
1,276.0,115.9219970703125
1,280.0,116.29762268066406
1,284.0,116.66051483154297
1,288.0,117.00731658935547
1,292.0,117.33943939208984
1,296.0,117.66058349609375
1,300.0,117.9792709350586
1,304.0,118.29731750488281
1,308.0,118.61341094970703
1,312.0,118.92109680175781
1,316.0,119.21124267578125
1,320.0,119.48013305664062
2,0.0,162.44668579101562
2,4.0,162.07064819335938
2,8.0,161.68408203125
2,12.0,161.28663635253906
2,16.0,160.88009643554688
2,20.0,160.46763610839844
2,24.0,160.04652404785156
2,28.0,159.61915588378906
2,32.0,159.184814453125
2,36.0,158.74240112304688
2,40.0,158.29331970214844
2,44.0,157.83473205566406
2,48.0,157.36634826660156
2,52.0,156.88795471191406
2,56.0,156.4002685546875
2,60.0,155.90988159179688
2,64.0,155.42181396484375
2,68.0,154.94129943847656
2,72.0,154.4705352783203
2,76.0,154.00372314453125
2,80.0,153.5323486328125
2,84.0,153.039306640625
2,88.0,152.51307678222656
2,92.0,151.9549102783203
2,96.0,151.36680603027344
2,100.0,150.76219177246094
2,104.0,150.14515686035156
2,108.0,149.5170440673828
2,112.0,148.87579345703125
2,116.0,148.2224578857422
2,120.0,147.5607452392578
2,124.0,146.89581298828125
2,128.0,146.2349090576172
2,132.0,145.5857696533203
2,136.0,144.95704650878906
2,140.0,144.35336303710938
2,144.0,143.77516174316406
2,148.0,143.2216339111328
2,152.0,142.68447875976562
2,156.0,142.15774536132812
2,160.0,141.6357421875
2,164.0,141.11569213867188
2,168.0,140.59837341308594
2,172.0,140.08468627929688
2,176.0,139.57647705078125
2,180.0,139.07467651367188
2,184.0,138.57733154296875
2,188.0,138.0859832763672
2,192.0,137.59722900390625
2,196.0,137.11102294921875
2,200.0,136.6270294189453
2,204.0,136.14199829101562
2,208.0,135.65687561035156
