profile,distance_m,elevation_m
1,0.0,164.2598114013672
1,4.0,163.86114501953125
1,8.0,163.40318298339844
1,12.0,162.8957061767578
1,16.0,162.36209106445312
1,20.0,161.83096313476562
1,24.0,161.32733154296875
1,28.0,160.86376953125
1,32.0,160.43258666992188
1,36.0,160.01068115234375
1,40.0,159.58456420898438
1,44.0,159.1465301513672
1,48.0,158.69480895996094
1,52.0,158.2307891845703
1,56.0,157.75555419921875
1,60.0,157.271484375
1,64.0,156.78414916992188
1,68.0,156.29791259765625
1,72.0,155.81251525878906
1,76.0,155.32505798339844
1,80.0,154.82240295410156
1,84.0,154.2894287109375
1,88.0,153.70677185058594
1,92.0,153.0827178955078
1,96.0,152.4209747314453
1,100.0,151.74392700195312
1,104.0,151.07098388671875
1,108.0,150.41700744628906
1,112.0,149.80010986328125
1,116.0,149.21380615234375
1,120.0,148.66336059570312
1,124.0,148.13864135742188
1,128.0,147.6408233642578
1,132.0,147.157958984375
1,136.0,146.6851806640625
1,140.0,146.21388244628906
1,144.0,145.7364044189453
1,148.0,145.2478790283203
1,152.0,144.7507781982422
1,156.0,144.2469482421875
1,160.0,143.74301147460938
1,164.0,143.23948669433594
1,168.0,142.7436065673828
1,172.0,142.25076293945312
1,176.0,141.76597595214844
1,180.0,141.28453063964844
1,184.0,140.81280517578125
1,188.0,140.34567260742188
1,192.0,139.89242553710938
1,196.0,139.44650268554688
1,200.0,139.01055908203125
1,204.0,138.5782928466797
1,208.0,138.1572723388672
1,212.0,137.74920654296875
1,216.0,137.3622589111328
1,220.0,136.99893188476562
1,224.0,136.65623474121094
1,228.0,136.32786560058594
1,232.0,136.01510620117188
1,236.0,135.7244415283203
1,240.0,135.46612548828125
1,244.0,135.25038146972656
1,248.0,135.09014892578125
1,252.0,134.98721313476562
1,256.0,134.93751525878906
1,260.0,134.9345703125
1,264.0,134.97198486328125
1,268.0,135.04090881347656
1,272.0,135.13665771484375
1,276.0,135.25950622558594
1,280.0,135.41441345214844
1,284.0,135.60488891601562
1,288.0,135.8406524658203
1,292.0,136.12396240234375
1,296.0,136.4622039794922
1,300.0,136.8549346923828
1,304.0,137.31011962890625
1,308.0,137.81044006347656
1,312.0,138.34776306152344
1,316.0,138.9141387939453
1,320.0,139.5039520263672
2,0.0,168.0767822265625
2,4.0,167.72213745117188
2,8.0,167.3558807373047
2,12.0,166.97772216796875
2,16.0,166.58636474609375
2,20.0,166.1839141845703
2,24.0,165.7719268798828
2,28.0,165.35296630859375
2,32.0,164.92745971679688
2,36.0,164.50111389160156
2,40.0,164.076904296875
2,44.0,163.65536499023438
2,48.0,163.2301483154297
2,52.0,162.79119873046875
2,56.0,162.31956481933594
2,60.0,161.79962158203125
2,64.0,161.2345733642578
2,68.0,160.6417236328125
2,72.0,160.04335021972656
2,76.0,159.46315002441406
2,80.0,158.91587829589844
2,84.0,158.40371704101562
2,88.0,157.90821838378906
2,92.0,157.41229248046875
2,96.0,156.9053192138672
2,100.0,156.3873291015625
2,104.0,155.85745239257812
2,108.0,155.32469177246094
2,112.0,154.7914276123047
2,116.0,154.2609405517578
2,120.0,153.72195434570312
2,124.0,153.16485595703125
2,128.0,152.5732879638672
2,132.0,151.93728637695312
2,136.0,151.24826049804688
2,140.0,150.49855041503906
2,144.0,149.70753479003906
2,148.0,148.8874969482422
2,152.0,148.05322265625
2,156.0,147.2186737060547
2,160.0,146.40744018554688
2,164.0,145.6339874267578
2,168.0,144.9150848388672
2,172.0,144.2359161376953
2,176.0,143.5921630859375
2,180.0,142.98207092285156
2,184.0,142.4009552001953
2,188.0,141.8538055419922
2,192.0,141.34156799316406
2,196.0,140.8797607421875
2,200.0,140.47152709960938
2,204.0,140.130859375
2,208.0,139.86300659179688
2,212.0,139.674560546875
2,216.0,139.5601043701172
2,220.0,139.5167694091797
2,224.0,139.53506469726562
2,228.0,139.61508178710938
2,232.0,139.76486206054688
2,236.0,139.99514770507812
2,240.0,140.3101806640625
2,244.0,140.7093963623047
2,248.0,141.19198608398438
2,252.0,141.74130249023438
2,256.0,142.3408966064453
2,260.0,142.98219299316406
2,264.0,143.65756225585938
2,268.0,144.3666534423828
2,272.0,145.10641479492188
2,276.0,145.8822021484375
2,280.0,146.67898559570312
2,284.0,147.49583435058594
2,288.0,148.33738708496094
2,292.0,149.20928955078125
2,296.0,150.1171875
2,300.0,151.05438232421875
2,304.0,152.01132202148438
2,308.0,152.9694366455078
2,312.0,153.92201232910156
2,316.0,154.8606414794922
2,320.0,155.77780151367188
3,0.0,175.9017333984375
3,4.0,175.5832977294922
3,8.0,175.2633056640625
3,12.0,174.92630004882812
3,16.0,174.57876586914062
3,20.0,174.21241760253906
3,24.0,173.83570861816406
3,28.0,173.44509887695312
3,32.0,173.04566955566406
3,36.0,172.63829040527344
3,40.0,172.2196502685547
3,44.0,171.77980041503906
3,48.0,171.3048553466797
3,52.0,170.78115844726562
3,56.0,170.20040893554688
3,60.0,169.56884765625
3,64.0,168.91622924804688
3,68.0,168.27072143554688
3,72.0,167.67398071289062
3,76.0,167.1404571533203
3,80.0,166.693115234375
3,84.0,166.30624389648438
3,88.0,165.95468139648438
3,92.0,165.5891571044922
3,96.0,165.19903564453125
3,100.0,164.765625
3,104.0,164.28941345214844
3,108.0,163.76478576660156
3,112.0,163.19200134277344
3,116.0,162.57862854003906
3,120.0,161.94244384765625
3,124.0,161.2972412109375
3,128.0,160.66041564941406
3,132.0,160.0419158935547
3,136.0,159.44732666015625
3,140.0,158.87435913085938
3,144.0,158.31153869628906
3,148.0,157.750244140625
3,152.0,157.1833953857422
3,156.0,156.6058807373047
3,160.0,156.0147705078125
3,164.0,155.408447265625
3,168.0,154.7873077392578
3,172.0,154.15725708007812
3,176.0,153.52232360839844
3,180.0,152.88404846191406
3,184.0,152.24314880371094
3,188.0,151.5980987548828
3,192.0,150.94825744628906
3,196.0,150.29278564453125
3,200.0,149.63543701171875
3,204.0,148.9814910888672
3,208.0,148.3367919921875
3,212.0,147.71075439453125
3,216.0,147.10655212402344
3,220.0,146.5302276611328
3,224.0,145.9792938232422
3,228.0,145.4597930908203
3,232.0,144.98545837402344
3,236.0,144.58241271972656
3,240.0,144.27584838867188
3,244.0,144.08547973632812
3,248.0,144.02728271484375
3,252.0,144.09194946289062
3,256.0,144.27125549316406
3,260.0,144.55552673339844
3,264.0,144.9419403076172
3,268.0,145.41700744628906
3,272.0,145.9864501953125
3,276.0,146.66065979003906
3,280.0,147.48011779785156
3,284.0,148.45144653320312
3,288.0,149.56539916992188
3,292.0,150.7686767578125
3,296.0,151.96937561035156
3,300.0,153.13796997070312
3,304.0,154.2304229736328
3,308.0,155.2876434326172
3,312.0,156.32301330566406
3,316.0,157.35556030273438
3,320.0,158.3863983154297
