profile,distance_m,elevation_m
1,0.0,177.925048828125
1,4.0,177.52828979492188
1,8.0,177.12631225585938
1,12.0,176.7191925048828
1,16.0,176.30906677246094
1,20.0,175.89869689941406
1,24.0,175.46778869628906
1,28.0,175.0047607421875
1,32.0,174.49024963378906
1,36.0,173.9258575439453
1,40.0,173.3234100341797
1,44.0,172.72059631347656
1,48.0,172.20266723632812
1,52.0,171.7961883544922
1,56.0,171.46995544433594
1,60.0,171.18951416015625
1,64.0,170.87249755859375
1,68.0,170.5028076171875
1,72.0,170.05752563476562
1,76.0,169.57020568847656
1,80.0,169.05731201171875
1,84.0,168.5227508544922
1,88.0,167.97918701171875
1,92.0,167.4197235107422
1,96.0,166.85414123535156
1,100.0,166.28536987304688
1,104.0,165.7186279296875
1,108.0,165.15972900390625
1,112.0,164.5966339111328
1,116.0,164.0222625732422
1,120.0,163.428466796875
1,124.0,162.7905731201172
1,128.0,162.13079833984375
1,132.0,161.40736389160156
1,136.0,160.65074157714844
1,140.0,159.84780883789062
1,144.0,158.99630737304688
1,148.0,158.12171936035156
1,152.0,157.21820068359375
1,156.0,156.32009887695312
1,160.0,155.4337615966797
1,164.0,154.5780792236328
1,168.0,153.74569702148438
1,172.0,152.94671630859375
1,176.0,152.1563262939453
1,180.0,151.37841796875
1,184.0,150.62271118164062
1,188.0,149.8870391845703
1,192.0,149.22396850585938
1,196.0,148.60061645507812
1,200.0,148.0423583984375
1,204.0,147.52389526367188
1,208.0,147.02427673339844
1,212.0,146.52713012695312
1,216.0,146.01980590820312
1,220.0,145.50746154785156
1,224.0,145.00230407714844
1,228.0,144.50804138183594
1,232.0,144.0398406982422
1,236.0,143.5796661376953
1,240.0,143.13214111328125
1,244.0,142.68771362304688
1,248.0,142.24610900878906
1,252.0,141.8297119140625
1,256.0,141.43203735351562
1,260.0,141.07518005371094
1,264.0,140.75611877441406
1,268.0,140.4838409423828
1,272.0,140.2620086669922
1,276.0,140.06434631347656
1,280.0,139.90367126464844
1,284.0,139.75848388671875
1,288.0,139.62461853027344
1,292.0,139.49989318847656
1,296.0,139.36729431152344
1,300.0,139.2472381591797
1,304.0,139.13414001464844
1,308.0,139.04287719726562
1,312.0,138.979248046875
1,316.0,138.91920471191406
1,320.0,138.878173828125
2,0.0,176.31121826171875
2,4.0,175.83602905273438
2,8.0,175.35609436035156
2,12.0,174.86688232421875
2,16.0,174.3665313720703
2,20.0,173.8558349609375
2,24.0,173.33486938476562
2,28.0,172.80979919433594
2,32.0,172.2842254638672
2,36.0,171.7558135986328
2,40.0,171.21945190429688
2,44.0,170.64952087402344
2,48.0,170.04287719726562
2,52.0,169.37867736816406
2,56.0,168.6681671142578
2,60.0,167.92466735839844
2,64.0,167.156494140625
2,68.0,166.3762969970703
2,72.0,165.5786590576172
2,76.0,164.76004028320312
2,80.0,163.91819763183594
2,84.0,163.03468322753906
2,88.0,162.11741638183594
2,92.0,161.14462280273438
2,96.0,160.12864685058594
2,100.0,159.07229614257812
2,104.0,157.9873046875
2,108.0,156.8899383544922
2,112.0,155.794677734375
2,116.0,154.70779418945312
2,120.0,153.63722229003906
2,124.0,152.59413146972656
2,128.0,151.57638549804688
2,132.0,150.58567810058594
2,136.0,149.60574340820312
2,140.0,148.62916564941406
2,144.0,147.65321350097656
2,148.0,146.68650817871094
2,152.0,145.7607879638672
2,156.0,144.8892059326172
2,160.0,144.09239196777344
2,164.0,143.3993682861328
2,168.0,142.78330993652344
2,172.0,142.31842041015625
2,176.0,141.9437713623047
2,180.0,141.69886779785156
2,184.0,141.58041381835938
2,188.0,141.54554748535156
2,192.0,141.63905334472656
2,196.0,141.779296875
2,200.0,141.97865295410156
2,204.0,142.20982360839844
2,208.0,142.4535369873047
2,212.0,142.72586059570312
2,216.0,143.0077362060547
2,220.0,143.3226318359375
2,224.0,143.67108154296875
2,228.0,144.04302978515625
2,232.0,144.4597930908203
2,236.0,144.8804931640625
2,240.0,145.30941772460938
2,244.0,145.7192840576172
2,248.0,146.10592651367188
2,252.0,146.45140075683594
2,256.0,146.77197265625
2,260.0,147.05755615234375
2,264.0,147.32923889160156
2,268.0,147.5933074951172
2,272.0,147.86260986328125
2,276.0,148.1292266845703
2,280.0,148.40687561035156
2,284.0,148.68238830566406
2,288.0,148.955322265625
2,292.0,149.2435760498047
2,296.0,149.53311157226562
2,300.0,149.851806640625
2,304.0,150.18133544921875
2,308.0,150.53053283691406
2,312.0,150.89271545410156
2,316.0,151.25848388671875
2,320.0,151.622802734375
3,0.0,171.53805541992188
3,4.0,170.9552764892578
3,8.0,170.36032104492188
3,12.0,169.7534942626953
3,16.0,169.13467407226562
3,20.0,168.5019073486328
3,24.0,167.8345489501953
3,28.0,167.14193725585938
3,32.0,166.42755126953125
3,36.0,165.71041870117188
3,40.0,164.99766540527344
3,44.0,164.28639221191406
3,48.0,163.5529022216797
3,52.0,162.78152465820312
3,56.0,161.96807861328125
3,60.0,161.12060546875
3,64.0,160.24002075195312
3,68.0,159.34014892578125
3,72.0,158.4114532470703
3,76.0,157.4598846435547
3,80.0,156.48902893066406
3,84.0,155.51168823242188
3,88.0,154.54066467285156
3,92.0,153.6003875732422
3,96.0,152.69427490234375
3,100.0,151.8260498046875
3,104.0,150.99383544921875
3,108.0,150.1717529296875
3,112.0,149.33665466308594
3,116.0,148.479736328125
3,120.0,147.60443115234375
3,124.0,146.7527313232422
3,128.0,145.95851135253906
3,132.0,145.31024169921875
3,136.0,144.8023223876953
3,140.0,144.4615020751953
3,144.0,144.3057861328125
3,148.0,144.27845764160156
3,152.0,144.41847229003906
3,156.0,144.6518096923828
3,160.0,144.98458862304688
3,164.0,145.40370178222656
3,168.0,145.8833465576172
3,172.0,146.44967651367188
3,176.0,147.0624237060547
3,180.0,147.72328186035156
3,184.0,148.40927124023438
3,188.0,149.103271484375
3,192.0,149.79257202148438
3,196.0,150.472900390625
3,200.0,151.13961791992188
3,204.0,151.789794921875
3,208.0,152.4243927001953
3,212.0,153.03689575195312
3,216.0,153.63694763183594
3,220.0,154.2211151123047
3,224.0,154.7909698486328
3,228.0,155.34771728515625
3,232.0,155.8769989013672
3,236.0,156.38711547851562
3,240.0,156.8662872314453
3,244.0,157.31784057617188
3,248.0,157.74392700195312
3,252.0,158.14100646972656
3,256.0,158.5263214111328
3,260.0,158.89877319335938
3,264.0,159.270751953125
3,268.0,159.64134216308594
3,272.0,160.0194549560547
3,276.0,160.39720153808594
3,280.0,160.7810821533203
3,284.0,161.16268920898438
3,288.0,161.54168701171875
3,292.0,161.92173767089844
3,296.0,162.30455017089844
3,300.0,162.69541931152344
3,304.0,163.09500122070312
3,308.0,163.5016326904297
3,312.0,163.91171264648438
3,316.0,164.32080078125
3,320.0,164.73162841796875
