profile,distance_m,elevation_m
1,0.0,154.06642150878906
1,4.0,153.80787658691406
1,8.0,153.5238800048828
1,12.0,153.20896911621094
1,16.0,152.8587646484375
1,20.0,152.4722442626953
1,24.0,152.0541229248047
1,28.0,151.6033935546875
1,32.0,151.12232971191406
1,36.0,150.60232543945312
1,40.0,150.04466247558594
1,44.0,149.457763671875
1,48.0,148.84141540527344
1,52.0,148.20301818847656
1,56.0,147.54502868652344
1,60.0,146.8689727783203
1,64.0,146.17713928222656
1,68.0,145.46923828125
1,72.0,144.73133850097656
1,76.0,143.9482879638672
1,80.0,143.09649658203125
1,84.0,142.140625
1,88.0,141.0940704345703
1,92.0,139.96060180664062
1,96.0,138.7684783935547
1,100.0,137.52870178222656
1,104.0,136.23887634277344
1,108.0,134.89085388183594
1,112.0,133.4889678955078
1,116.0,132.04058837890625
1,120.0,130.5716552734375
1,124.0,129.1096954345703
1,128.0,127.6769027709961
1,132.0,126.2859115600586
1,136.0,124.95079803466797
1,140.0,123.7021484375
1,144.0,122.5163345336914
1,148.0,121.3953628540039
1,152.0,120.33084869384766
1,156.0,119.31648254394531
1,160.0,118.34217071533203
1,164.0,117.40962982177734
1,168.0,116.51353454589844
1,172.0,115.67180633544922
1,176.0,114.8745346069336
1,180.0,114.1180648803711
1,184.0,113.44955444335938
1,188.0,112.84732055664062
1,192.0,112.3134536743164
1,196.0,111.81095886230469
1,200.0,111.28305053710938
1,204.0,110.6959457397461
1,208.0,110.02355194091797
1,212.0,109.31856536865234
1,216.0,108.61436462402344
1,220.0,107.98770141601562
1,224.0,107.44058227539062
1,228.0,107.05607604980469
1,232.0,106.80757141113281
1,236.0,106.66487121582031
1,240.0,106.66769409179688
1,244.0,106.74397277832031
1,248.0,106.88349914550781
1,252.0,107.12056732177734
1,256.0,107.41825866699219
1,260.0,107.78873443603516
1,264.0,108.26535034179688
1,268.0,108.79962158203125
1,272.0,109.40563201904297
1,276.0,110.05484008789062
1,280.0,110.71585845947266
1,284.0,111.38355255126953
1,288.0,112.02970123291016
1,292.0,112.65360260009766
1,296.0,113.24421691894531
1,300.0,113.81670379638672
1,304.0,114.37889862060547
1,308.0,114.91959381103516
1,312.0,115.4617919921875
1,316.0,116.00365447998047
1,320.0,116.54158020019531
2,0.0,157.93336486816406
2,4.0,157.15882873535156
2,8.0,156.36282348632812
2,12.0,155.5482177734375
2,16.0,154.71176147460938
2,20.0,153.86077880859375
2,24.0,152.99343872070312
2,28.0,152.0985107421875
2,32.0,151.17117309570312
2,36.0,150.17640686035156
2,40.0,149.10098266601562
2,44.0,147.97674560546875
2,48.0,146.83566284179688
2,52.0,145.75003051757812
2,56.0,144.7438201904297
2,60.0,143.78237915039062
2,64.0,142.79107666015625
2,68.0,141.7296600341797
2,72.0,140.57464599609375
2,76.0,139.41053771972656
2,80.0,138.26866149902344
2,84.0,137.17935180664062
2,88.0,136.1322784423828
2,92.0,135.11026000976562
2,96.0,134.090087890625
2,100.0,133.06039428710938
2,104.0,132.01239013671875
2,108.0,130.94473266601562
2,112.0,129.85784912109375
2,116.0,128.76808166503906
2,120.0,127.68016815185547
2,124.0,126.59515380859375
2,128.0,125.5732192993164
2,132.0,124.59783935546875
2,136.0,123.69317626953125
2,140.0,122.88993835449219
2,144.0,122.14537048339844
2,148.0,121.45338439941406
2,152.0,120.79756927490234
2,156.0,120.15643310546875
2,160.0,119.53472900390625
2,164.0,118.94054412841797
2,168.0,118.36873626708984
2,172.0,117.83462524414062
2,176.0,117.3115463256836
2,180.0,116.79048156738281
2,184.0,116.25128173828125
2,188.0,115.70799255371094
2,192.0,115.16890716552734
2,196.0,114.65977478027344
2,200.0,114.1784896850586
2,204.0,113.72833251953125
2,208.0,113.30789184570312
2,212.0,112.90900421142578
2,216.0,112.53925323486328
2,220.0,112.20443725585938
2,224.0,111.906982421875
2,228.0,111.65831756591797
2,232.0,111.45575714111328
2,236.0,111.29422760009766
2,240.0,111.1833267211914
2,244.0,111.11090087890625
2,248.0,111.07452392578125
2,252.0,111.08425903320312
2,256.0,111.13468170166016
2,260.0,111.23222351074219
2,264.0,111.3801498413086
2,268.0,111.56674194335938
2,272.0,111.79151916503906
2,276.0,112.04692840576172
2,280.0,112.3199462890625
2,284.0,112.606689453125
2,288.0,112.90501403808594
2,292.0,113.22066497802734
2,296.0,113.5537338256836
2,300.0,113.90687561035156
2,304.0,114.2815933227539
2,308.0,114.69107055664062
2,312.0,115.1311264038086
2,316.0,115.60354614257812
2,320.0,116.12200164794922
3,0.0,159.04605102539062
3,4.0,157.51641845703125
3,8.0,155.84022521972656
3,12.0,154.05752563476562
3,16.0,152.23849487304688
3,20.0,150.44569396972656
3,24.0,148.70814514160156
3,28.0,147.05496215820312
3,32.0,145.4794464111328
3,36.0,144.00840759277344
3,40.0,142.635986328125
3,44.0,141.33412170410156
3,48.0,140.11888122558594
