profile,distance_m,elevation_m
1,0.0,174.0469207763672
1,4.0,174.13253784179688
1,8.0,174.20916748046875
1,12.0,174.27464294433594
1,16.0,174.3280792236328
1,20.0,174.37002563476562
1,24.0,174.4010772705078
1,28.0,174.42233276367188
1,32.0,174.43336486816406
1,36.0,174.43296813964844
1,40.0,174.41964721679688
1,44.0,174.38717651367188
1,48.0,174.33067321777344
1,52.0,174.2523956298828
1,56.0,174.1529998779297
1,60.0,174.0342559814453
1,64.0,173.8978729248047
1,68.0,173.74916076660156
1,72.0,173.59161376953125
1,76.0,173.42478942871094
1,80.0,173.25115966796875
1,84.0,173.07562255859375
1,88.0,172.9019012451172
1,92.0,172.7286834716797
1,96.0,172.55557250976562
1,100.0,172.3809356689453
1,104.0,172.20278930664062
1,108.0,172.01734924316406
1,112.0,171.8263397216797
1,116.0,171.63084411621094
1,120.0,171.43165588378906
1,124.0,171.2292938232422
1,128.0,171.0231475830078
1,132.0,170.8130340576172
1,136.0,170.5989990234375
1,140.0,170.38101196289062
1,144.0,170.15896606445312
1,148.0,169.9322967529297
1,152.0,169.70046997070312
1,156.0,169.46331787109375
1,160.0,169.22024536132812
1,164.0,168.96888732910156
1,168.0,168.70094299316406
1,172.0,168.3880615234375
1,176.0,168.0225067138672
1,180.0,167.5963592529297
1,184.0,167.1158905029297
1,188.0,166.6018829345703
1,192.0,166.07601928710938
1,196.0,165.57249450683594
1,200.0,165.09120178222656
1,204.0,164.61778259277344
1,208.0,164.1372833251953
1,212.0,163.64585876464844
1,216.0,163.13209533691406
1,220.0,162.5828094482422
1,224.0,161.9834747314453
1,228.0,161.31649780273438
1,232.0,160.5744171142578
1,236.0,159.7793731689453
1,240.0,158.97433471679688
1,244.0,158.22511291503906
1,248.0,157.5924835205078
1,252.0,157.1098175048828
1,256.0,156.77027893066406
1,260.0,156.5101776123047
1,264.0,156.26536560058594
1,268.0,155.9825897216797
1,272.0,155.63235473632812
1,276.0,155.1943359375
1,280.0,154.69876098632812
1,284.0,154.16159057617188
1,288.0,153.59495544433594
1,292.0,153.0066375732422
1,296.0,152.39505004882812
1,300.0,151.76817321777344
1,304.0,151.13333129882812
1,308.0,150.4961395263672
1,312.0,149.86282348632812
1,316.0,149.23851013183594
1,320.0,148.62904357910156
2,0.0,174.86888122558594
2,4.0,173.5789031982422
2,8.0,172.24717712402344
2,12.0,170.89883422851562
2,16.0,169.56463623046875
2,20.0,168.272216796875
2,24.0,167.04454040527344
2,28.0,165.88429260253906
2,32.0,164.78341674804688
2,36.0,163.73097229003906
2,40.0,162.71646118164062
2,44.0,161.73513793945312
2,48.0,160.77969360351562
2,52.0,159.8426513671875
2,56.0,158.91929626464844
2,60.0,158.00283813476562
2,64.0,157.08248901367188
2,68.0,156.14398193359375
2,72.0,155.18020629882812
2,76.0,154.19174194335938
2,80.0,153.18777465820312
2,84.0,152.1831512451172
2,88.0,151.20338439941406
2,92.0,150.25596618652344
2,96.0,149.3502655029297
2,100.0,148.49057006835938
2,104.0,147.67344665527344
2,108.0,146.8927001953125
2,112.0,146.12217712402344
2,116.0,145.34548950195312
2,120.0,144.55508422851562
2,124.0,143.75064086914062
2,128.0,142.9432830810547
2,132.0,142.14891052246094
2,136.0,141.38055419921875
2,140.0,140.65367126464844
2,144.0,139.9783172607422
2,148.0,139.3605194091797
2,152.0,138.79196166992188
2,156.0,138.24647521972656
2,160.0,137.70962524414062
2,164.0,137.1695556640625
2,168.0,136.61912536621094
2,172.0,136.05703735351562
2,176.0,135.48306274414062
2,180.0,134.8992156982422
2,184.0,134.30789184570312
2,188.0,133.7127227783203
2,192.0,133.12391662597656
2,196.0,132.54747009277344
2,200.0,131.9920196533203
2,204.0,131.46693420410156
2,208.0,130.98068237304688
2,212.0,130.5462188720703
2,216.0,130.16429138183594
2,220.0,129.8307342529297
2,224.0,129.54312133789062
2,228.0,129.2987518310547
2,232.0,129.09780883789062
2,236.0,128.93907165527344
2,240.0,128.81707763671875
2,244.0,128.73052978515625
2,248.0,128.6782684326172
2,252.0,128.65953063964844
2,256.0,128.67518615722656
2,260.0,128.71961975097656
2,264.0,128.7911834716797
2,268.0,128.8882293701172
2,272.0,129.00889587402344
2,276.0,129.15419006347656
2,280.0,129.3199920654297
2,284.0,129.50474548339844
2,288.0,129.7067108154297
2,292.0,129.92340087890625
2,296.0,130.15237426757812
2,300.0,130.387939453125
2,304.0,130.62449645996094
2,308.0,130.85690307617188
2,312.0,131.080078125
2,316.0,131.28903198242188
2,320.0,131.479736328125
3,0.0,183.40663146972656
3,4.0,182.99354553222656
3,8.0,182.55430603027344
3,12.0,182.0867919921875
3,16.0,181.59188842773438
3,20.0,181.07254028320312
3,24.0,180.5304718017578
3,28.0,179.97152709960938
3,32.0,179.39892578125
3,36.0,178.8138427734375
3,40.0,178.21592712402344
3,44.0,177.59959411621094
3,48.0,176.95738220214844
3,52.0,176.28518676757812
3,56.0,175.5815887451172
3,60.0,174.85052490234375
3,64.0,174.09458923339844
3,68.0,173.3131561279297
3,72.0,172.51318359375
3,76.0,171.69471740722656
3,80.0,170.8602294921875
3,84.0,170.01437377929688
3,88.0,169.16310119628906
3,92.0,168.30921936035156
3,96.0,167.45249938964844
3,100.0,166.5902862548828
3,104.0,165.7190399169922
3,108.0,164.84393310546875
3,112.0,163.96177673339844
3,116.0,163.07264709472656
3,120.0,162.17642211914062
3,124.0,161.27127075195312
3,128.0,160.36363220214844
3,132.0,159.45204162597656
3,136.0,158.5334014892578
3,140.0,157.61155700683594
3,144.0,156.6905059814453
3,148.0,155.77786254882812
3,152.0,154.8790740966797
3,156.0,153.9888916015625
3,160.0,153.112060546875
3,164.0,152.2543487548828
3,168.0,151.4209747314453
3,172.0,150.62100219726562
3,176.0,149.83885192871094
3,180.0,149.06666564941406
3,184.0,148.30104064941406
3,188.0,147.54864501953125
3,192.0,146.85008239746094
3,196.0,146.20925903320312
3,200.0,145.6396026611328
3,204.0,145.14556884765625
3,208.0,144.71888732910156
3,212.0,144.3508758544922
3,216.0,144.02096557617188
3,220.0,143.71640014648438
3,224.0,143.4335174560547
3,228.0,143.17205810546875
3,232.0,142.93585205078125
3,236.0,142.7286834716797
3,240.0,142.55162048339844
3,244.0,142.40797424316406
3,248.0,142.29945373535156
3,252.0,142.2265625
3,256.0,142.1896514892578
3,260.0,142.186279296875
3,264.0,142.2161865234375
3,268.0,142.27877807617188
3,272.0,142.37261962890625
3,276.0,142.4950408935547
3,280.0,142.64178466796875
3,284.0,142.80923461914062
3,288.0,142.99424743652344
3,292.0,143.19468688964844
3,296.0,143.40872192382812
3,300.0,143.63583374023438
3,304.0,143.8753204345703
3,308.0,144.12570190429688
3,312.0,144.38461303710938
3,316.0,144.64854431152344
3,320.0,144.91346740722656
