profile,distance_m,elevation_m
1,0.0,141.01051330566406
1,4.0,140.6193084716797
1,8.0,140.19444274902344
1,12.0,139.74832153320312
1,16.0,139.28411865234375
1,20.0,138.79481506347656
1,24.0,138.303466796875
1,28.0,137.7925262451172
1,32.0,137.27471923828125
1,36.0,136.7534637451172
1,40.0,136.22056579589844
1,44.0,135.69805908203125
1,48.0,135.16946411132812
1,52.0,134.64511108398438
1,56.0,134.12741088867188
1,60.0,133.60841369628906
1,64.0,133.10174560546875
1,68.0,132.59469604492188
1,72.0,132.09304809570312
1,76.0,131.59915161132812
1,80.0,131.1094207763672
1,84.0,130.63343811035156
1,88.0,130.1667022705078
1,92.0,129.71182250976562
1,96.0,129.26913452148438
1,100.0,128.83924865722656
1,104.0,128.41983032226562
1,108.0,128.01100158691406
1,112.0,127.61092376708984
1,116.0,127.2172622680664
1,120.0,126.82901000976562
1,124.0,126.44168853759766
1,128.0,126.05782318115234
1,132.0,125.67613983154297
1,136.0,125.29551696777344
1,140.0,124.91962432861328
1,144.0,124.53958892822266
1,148.0,124.15845489501953
1,152.0,123.77347564697266
1,156.0,123.3857421875
1,160.0,122.99916076660156
1,164.0,122.6190185546875
1,168.0,122.24650573730469
1,172.0,121.88370513916016
1,176.0,121.53107452392578
1,180.0,121.18606567382812
1,184.0,120.84619903564453
1,188.0,120.50870513916016
1,192.0,120.17073822021484
1,196.0,119.83087921142578
1,200.0,119.49107360839844
1,204.0,119.15328216552734
1,208.0,118.82051086425781
1,212.0,118.49510192871094
1,216.0,118.17931365966797
1,220.0,117.8724365234375
1,224.0,117.57608032226562
1,228.0,117.2882080078125
1,232.0,117.0082015991211
1,236.0,116.73627471923828
1,240.0,116.47215270996094
1,244.0,116.21784210205078
1,248.0,115.97154235839844
1,252.0,115.73216247558594
1,256.0,115.49878692626953
1,260.0,115.27067565917969
1,264.0,115.0467758178711
1,268.0,114.8277816772461
1,272.0,114.6136245727539
1,276.0,114.40447998046875
1,280.0,114.2015609741211
1,284.0,114.00653839111328
1,288.0,113.81977844238281
1,292.0,113.64236450195312
1,296.0,113.47372436523438
1,300.0,113.31317901611328
1,304.0,113.16163635253906
1,308.0,113.01961517333984
1,312.0,112.88815307617188
1,316.0,112.7685317993164
1,320.0,112.65972900390625
2,0.0,146.01132202148438
2,4.0,145.495361328125
2,8.0,144.9643096923828
2,12.0,144.4185333251953
2,16.0,143.86135864257812
2,20.0,143.2965545654297
2,24.0,142.73619079589844
2,28.0,142.1800537109375
2,32.0,141.62884521484375
2,36.0,141.06959533691406
2,40.0,140.47714233398438
2,44.0,139.82781982421875
2,48.0,139.1137237548828
2,52.0,138.3528289794922
2,56.0,137.58621215820312
2,60.0,136.82859802246094
2,64.0,136.10113525390625
2,68.0,135.37722778320312
2,72.0,134.6521759033203
2,76.0,133.92129516601562
2,80.0,133.1802520751953
2,84.0,132.4361114501953
2,88.0,131.68861389160156
2,92.0,130.9420166015625
2,96.0,130.2008819580078
2,100.0,129.47235107421875
2,104.0,128.75535583496094
2,108.0,128.04531860351562
2,112.0,127.32962799072266
2,116.0,126.5933609008789
2,120.0,125.83135223388672
2,124.0,125.0362319946289
2,128.0,124.2273941040039
2,132.0,123.42668151855469
2,136.0,122.66649627685547
2,140.0,121.98120880126953
2,144.0,121.3798599243164
2,148.0,120.86371612548828
2,152.0,120.39302062988281
2,156.0,119.9439926147461
2,160.0,119.50470733642578
2,164.0,119.06693267822266
2,168.0,118.63184356689453
2,172.0,118.20105743408203
2,176.0,117.77738952636719
2,180.0,117.36282348632812
2,184.0,116.9591293334961
