profile,distance_m,elevation_m
1,0.0,194.15325927734375
1,4.0,193.9530029296875
1,8.0,193.74392700195312
1,12.0,193.53746032714844
1,16.0,193.3441619873047
1,20.0,193.17193603515625
1,24.0,193.02760314941406
1,28.0,192.91009521484375
1,32.0,192.81256103515625
1,36.0,192.7274932861328
1,40.0,192.64657592773438
1,44.0,192.56240844726562
1,48.0,192.46836853027344
1,52.0,192.36280822753906
1,56.0,192.24737548828125
1,60.0,192.12429809570312
1,64.0,191.99481201171875
1,68.0,191.85435485839844
1,72.0,191.70343017578125
1,76.0,191.54188537597656
1,80.0,191.36886596679688
1,84.0,191.1841583251953
1,88.0,190.98593139648438
1,92.0,190.77212524414062
1,96.0,190.54702758789062
1,100.0,190.31044006347656
1,104.0,190.0618896484375
1,108.0,189.8004150390625
1,112.0,189.51779174804688
1,116.0,189.21673583984375
1,120.0,188.89512634277344
1,124.0,188.5500946044922
1,128.0,188.1793975830078
1,132.0,187.77835083007812
1,136.0,187.34759521484375
1,140.0,186.8930206298828
1,144.0,186.41726684570312
1,148.0,185.92391967773438
1,152.0,185.41720581054688
1,156.0,184.89862060546875
1,160.0,184.37124633789062
1,164.0,183.83055114746094
1,168.0,183.26449584960938
1,172.0,182.65194702148438
1,176.0,181.94371032714844
1,180.0,181.10569763183594
1,184.0,180.12359619140625
1,188.0,178.9898223876953
1,192.0,177.7145233154297
1,196.0,176.3142852783203
1,200.0,174.8021240234375
1,204.0,173.221923828125
1,208.0,171.5792999267578
1,212.0,169.870361328125
1,216.0,168.0872344970703
1,220.0,166.2095947265625
1,224.0,164.25112915039062
1,228.0,162.22149658203125
1,232.0,160.1258544921875
1,236.0,157.97157287597656
1,240.0,155.7645721435547
1,244.0,153.51612854003906
1,248.0,151.24710083007812
1,252.0,148.9792022705078
1,256.0,146.7376708984375
1,260.0,144.5426483154297
1,264.0,142.40408325195312
1,268.0,140.30613708496094
1,272.0,138.23182678222656
1,276.0,136.17584228515625
1,280.0,134.1517333984375
1,284.0,132.19195556640625
1,288.0,130.34060668945312
1,292.0,128.63905334472656
1,296.0,127.12177276611328
1,300.0,125.8012924194336
1,304.0,124.65738677978516
1,308.0,123.63785552978516
1,312.0,122.66922760009766
1,316.0,121.71754455566406
1,320.0,120.79041290283203
2,0.0,173.70826721191406
2,4.0,172.2159423828125
2,8.0,170.66513061523438
2,12.0,169.14508056640625
2,16.0,167.69932556152344
2,20.0,166.3004913330078
2,24.0,164.87115478515625
2,28.0,163.344970703125
2,32.0,161.7140350341797
2,36.0,160.02064514160156
2,40.0,158.3352508544922
2,44.0,156.72474670410156
2,48.0,155.2264404296875
2,52.0,153.8505096435547
2,56.0,152.57565307617188
2,60.0,151.37979125976562
2,64.0,150.25672912597656
2,68.0,149.214599609375
2,72.0,148.2706756591797
2,76.0,147.43043518066406
2,80.0,146.67578125
2,84.0,145.9635467529297
2,88.0,145.2395782470703
2,92.0,144.4693603515625
2,96.0,143.66485595703125
2,100.0,142.86907958984375
2,104.0,142.1233367919922
2,108.0,141.43893432617188
2,112.0,140.79672241210938
2,116.0,140.17965698242188
2,120.0,139.5821533203125
2,124.0,139.00755310058594
2,128.0,138.45713806152344
2,132.0,137.92601013183594
2,136.0,137.40536499023438
2,140.0,136.8878631591797
2,144.0,136.3724822998047
2,148.0,135.86241149902344
2,152.0,135.36215209960938
2,156.0,134.87367248535156
2,160.0,134.40077209472656
2,164.0,133.947265625
2,168.0,133.51585388183594
2,172.0,133.10745239257812
2,176.0,132.71969604492188
2,180.0,132.3526153564453
2,184.0,132.00535583496094
2,188.0,131.67581176757812
2,192.0,131.362548828125
2,196.0,131.06484985351562
2,200.0,130.78225708007812
2,204.0,130.5128173828125
2,208.0,130.25393676757812
2,212.0,130.00335693359375
2,216.0,129.7598419189453
2,220.0,129.5238037109375
2,224.0,129.29551696777344
2,228.0,129.07542419433594
2,232.0,128.8632354736328
2,236.0,128.6571502685547
2,240.0,128.45506286621094
2,244.0,128.25564575195312
2,248.0,128.0585479736328
2,252.0,127.86491394042969
2,256.0,127.67619323730469
2,260.0,127.49364471435547
2,264.0,127.31912994384766
2,268.0,127.15193939208984
2,272.0,126.9916000366211
2,276.0,126.83734130859375
2,280.0,126.6882095336914
2,284.0,126.54328155517578
2,288.0,126.4016342163086
2,292.0,126.26280975341797
2,296.0,126.12604522705078
2,300.0,125.99031829833984
2,304.0,125.85447692871094
2,308.0,125.71639251708984
2,312.0,125.57669067382812
2,316.0,125.43421936035156
2,320.0,125.28760528564453
3,0.0,167.48793029785156
3,4.0,166.52467346191406
3,8.0,165.42526245117188
3,12.0,164.12059020996094
3,16.0,162.56423950195312
3,20.0,160.74850463867188
3,24.0,158.6981658935547
3,28.0,156.46688842773438
3,32.0,154.11911010742188
3,36.0,151.71707153320312
3,40.0,149.32290649414062
3,44.0,146.994384765625
3,48.0,144.7788848876953
3,52.0,142.7178955078125
3,56.0,140.83413696289062
3,60.0,139.13592529296875
3,64.0,137.61781311035156
3,68.0,136.2635040283203
3,72.0,135.05001831054688
3,76.0,133.95054626464844
3,80.0,132.93885803222656
3,84.0,131.9938201904297
3,88.0,131.10418701171875
3,92.0,130.27064514160156
3,96.0,129.50421142578125
3,100.0,128.81993103027344
3,104.0,128.2271728515625
3,108.0,127.72467803955078
3,112.0,127.30106353759766
3,116.0,126.94189453125
3,120.0,126.63259887695312
3,124.0,126.3599624633789
3,128.0,126.11187744140625
3,132.0,125.8773193359375
3,136.0,125.64958953857422
3,140.0,125.4280014038086
3,144.0,125.21572875976562
3,148.0,125.0168685913086
3,152.0,124.83244323730469
3,156.0,124.6571044921875
3,160.0,124.48282623291016
3,164.0,124.29798889160156
3,168.0,124.09596252441406
3,172.0,123.8835220336914
3,176.0,123.67994689941406
3,180.0,123.50608825683594
3,184.0,123.36890411376953
3,188.0,123.26063537597656
3,192.0,123.17210388183594
3,196.0,123.10291290283203
3,200.0,123.05543518066406
3,204.0,123.02113342285156
3,208.0,122.98468017578125
3,212.0,122.93026733398438
3,216.0,122.84977722167969
3,220.0,122.74174499511719
3,224.0,122.61917114257812
3,228.0,122.49244689941406
3,232.0,122.36801147460938
3,236.0,122.24735260009766
3,240.0,122.12840270996094
3,244.0,122.0082778930664
3,248.0,121.88551330566406
3,252.0,121.76204681396484
3,256.0,121.64060974121094
3,260.0,121.52256774902344
3,264.0,121.40616607666016
3,268.0,121.28890991210938
3,272.0,121.16850280761719
3,276.0,121.04367065429688
3,280.0,120.91413879394531
3,284.0,120.78034973144531
3,288.0,120.64249420166016
3,292.0,120.5013427734375
3,296.0,120.35938262939453
3,300.0,120.22004699707031
3,304.0,120.08699035644531
3,308.0,119.96422576904297
3,312.0,119.85347747802734
3,316.0,119.75701141357422
3,320.0,119.67728424072266
