profile,distance_m,elevation_m
1,0.0,176.48106384277344
1,4.0,176.02149963378906
1,8.0,175.54556274414062
1,12.0,175.03086853027344
1,16.0,174.46109008789062
1,20.0,173.84156799316406
1,24.0,173.19386291503906
1,28.0,172.5727081298828
1,32.0,171.98277282714844
1,36.0,171.43185424804688
1,40.0,170.93576049804688
1,44.0,170.4595184326172
1,48.0,169.9917449951172
1,52.0,169.52902221679688
1,56.0,169.0601806640625
1,60.0,168.58401489257812
1,64.0,168.11026000976562
1,68.0,167.6327362060547
1,72.0,167.14239501953125
1,76.0,166.62925720214844
1,80.0,166.0509033203125
1,84.0,165.38037109375
1,88.0,164.63446044921875
1,92.0,163.8365020751953
1,96.0,163.0382080078125
1,100.0,162.33033752441406
1,104.0,161.69651794433594
1,108.0,161.12831115722656
1,112.0,160.63827514648438
1,116.0,160.1736297607422
1,120.0,159.71981811523438
1,124.0,159.28135681152344
1,128.0,158.82839965820312
1,132.0,158.3497772216797
1,136.0,157.8499755859375
1,140.0,157.3102569580078
1,144.0,156.72523498535156
1,148.0,156.105224609375
1,152.0,155.44131469726562
1,156.0,154.7386016845703
1,160.0,154.0111541748047
1,164.0,153.2657470703125
1,168.0,152.5143280029297
1,172.0,151.77398681640625
1,176.0,151.05099487304688
1,180.0,150.35293579101562
1,184.0,149.69223022460938
1,188.0,149.06173706054688
1,192.0,148.45289611816406
1,196.0,147.85794067382812
1,200.0,147.2601318359375
1,204.0,146.65423583984375
1,208.0,146.05508422851562
1,212.0,145.4909210205078
1,216.0,144.9981231689453
1,220.0,144.62022399902344
1,224.0,144.3582000732422
1,228.0,144.20077514648438
1,232.0,144.13815307617188
1,236.0,144.1339569091797
1,240.0,144.16539001464844
1,244.0,144.2215576171875
1,248.0,144.2941131591797
1,252.0,144.38470458984375
1,256.0,144.5063018798828
1,260.0,144.6641845703125
1,264.0,144.86276245117188
1,268.0,145.1165313720703
1,272.0,145.4160919189453
1,276.0,145.7534942626953
1,280.0,146.13201904296875
1,284.0,146.5343780517578
1,288.0,146.94923400878906
1,292.0,147.37326049804688
1,296.0,147.7925567626953
1,300.0,148.19937133789062
1,304.0,148.58763122558594
1,308.0,148.95709228515625
1,312.0,149.31068420410156
1,316.0,149.64564514160156
1,320.0,149.9657440185547
2,0.0,177.38087463378906
2,4.0,177.06948852539062
2,8.0,176.75057983398438
2,12.0,176.420654296875
2,16.0,176.07553100585938
2,20.0,175.71548461914062
2,24.0,175.34046936035156
2,28.0,174.94900512695312
2,32.0,174.54541015625
2,36.0,174.1341552734375
2,40.0,173.72239685058594
2,44.0,173.31297302246094
2,48.0,172.9076385498047
2,52.0,172.5056610107422
2,56.0,172.10398864746094
2,60.0,171.7008514404297
2,64.0,171.293701171875
2,68.0,170.8848114013672
2,72.0,170.4715576171875
2,76.0,170.04042053222656
2,80.0,169.57997131347656
2,84.0,169.08251953125
2,88.0,168.5484619140625
2,92.0,167.99777221679688
2,96.0,167.4467010498047
2,100.0,166.90782165527344
2,104.0,166.38198852539062
2,108.0,165.8643035888672
2,112.0,165.3447723388672
2,116.0,164.81576538085938
2,120.0,164.27403259277344
2,124.0,163.7110595703125
2,128.0,163.131591796875
2,132.0,162.53857421875
2,136.0,161.9275665283203
2,140.0,161.3107452392578
2,144.0,160.689208984375
2,148.0,160.04827880859375
2,152.0,159.38751220703125
2,156.0,158.7013397216797
2,160.0,157.97254943847656
2,164.0,157.20452880859375
2,168.0,156.39602661132812
2,172.0,155.5394287109375
2,176.0,154.65219116210938
2,180.0,153.75062561035156
2,184.0,152.85035705566406
2,188.0,151.97390747070312
2,192.0,151.13229370117188
2,196.0,150.3304443359375
2,200.0,149.56141662597656
2,204.0,148.8146514892578
2,208.0,148.08335876464844
2,212.0,147.3648223876953
2,216.0,146.67529296875
2,220.0,146.0530548095703
2,224.0,145.53244018554688
2,228.0,145.13658142089844
2,232.0,144.87696838378906
2,236.0,144.72842407226562
2,240.0,144.66278076171875
2,244.0,144.65640258789062
2,248.0,144.68629455566406
2,252.0,144.7424774169922
2,256.0,144.82586669921875
2,260.0,144.9453887939453
2,264.0,145.1143035888672
2,268.0,145.3480987548828
2,272.0,145.65187072753906
2,276.0,146.0242919921875
2,280.0,146.4611358642578
2,284.0,146.9489288330078
2,288.0,147.4705047607422
2,292.0,148.01055908203125
2,296.0,148.55287170410156
2,300.0,149.08511352539062
2,304.0,149.5979766845703
2,308.0,150.09085083007812
2,312.0,150.56793212890625
2,316.0,151.03543090820312
2,320.0,151.49917602539062
3,0.0,174.28762817382812
3,4.0,174.0398712158203
3,8.0,173.7890167236328
3,12.0,173.52651977539062
3,16.0,173.246826171875
3,20.0,172.95059204101562
3,24.0,172.63999938964844
3,28.0,172.31898498535156
3,32.0,171.99002075195312
3,36.0,171.65443420410156
3,40.0,171.3128204345703
3,44.0,170.9654541015625
3,48.0,170.61331176757812
3,52.0,170.2570037841797
3,56.0,169.896484375
3,60.0,169.52972412109375
3,64.0,169.1529541015625
3,68.0,168.76544189453125
3,72.0,168.36663818359375
3,76.0,167.95635986328125
3,80.0,167.53189086914062
3,84.0,167.08993530273438
3,88.0,166.63150024414062
3,92.0,166.15768432617188
3,96.0,165.67196655273438
3,100.0,165.178955078125
3,104.0,164.67515563964844
3,108.0,164.15762329101562
3,112.0,163.6239013671875
3,116.0,163.06948852539062
3,120.0,162.491943359375
3,124.0,161.8928985595703
3,128.0,161.27557373046875
3,132.0,160.64657592773438
3,136.0,160.0150146484375
3,140.0,159.3792724609375
3,144.0,158.733154296875
3,148.0,158.0695037841797
3,152.0,157.3814697265625
3,156.0,156.66566467285156
3,160.0,155.92466735839844
3,164.0,155.15518188476562
3,168.0,154.35972595214844
3,172.0,153.5492706298828
3,176.0,152.7385711669922
3,180.0,151.94891357421875
3,184.0,151.19668579101562
3,188.0,150.49554443359375
3,192.0,149.8445281982422
3,196.0,149.22511291503906
3,200.0,148.61734008789062
3,204.0,148.002197265625
3,208.0,147.37709045410156
3,212.0,146.7682342529297
3,216.0,146.21827697753906
3,220.0,145.77516174316406
3,224.0,145.4554443359375
3,228.0,145.2578125
3,232.0,145.1749725341797
3,236.0,145.18130493164062
3,240.0,145.26063537597656
3,244.0,145.4075164794922
3,248.0,145.6129608154297
3,252.0,145.87216186523438
3,256.0,146.18287658691406
3,260.0,146.5367431640625
3,264.0,146.9273223876953
3,268.0,147.3497314453125
3,272.0,147.7974395751953
3,276.0,148.26443481445312
3,280.0,148.74659729003906
3,284.0,149.23983764648438
3,288.0,149.74380493164062
3,292.0,150.26348876953125
3,296.0,150.79971313476562
3,300.0,151.35133361816406
3,304.0,151.91452026367188
3,308.0,152.4794158935547
3,312.0,153.0366973876953
3,316.0,153.5760040283203
3,320.0,154.09300231933594
