profile,distance_m,elevation_m
1,0.0,131.9001922607422
1,4.0,131.4666290283203
1,8.0,131.0319366455078
1,12.0,130.60418701171875
1,16.0,130.20376586914062
1,20.0,129.8228302001953
1,24.0,129.45401000976562
1,28.0,129.08741760253906
1,32.0,128.7081298828125
1,36.0,128.31088256835938
1,40.0,127.88397216796875
1,44.0,127.42709350585938
1,48.0,126.94895935058594
1,52.0,126.44933319091797
1,56.0,125.93389129638672
1,60.0,125.4123764038086
1,64.0,124.88959503173828
1,68.0,124.37432861328125
1,72.0,123.87081146240234
1,76.0,123.3822250366211
1,80.0,122.91618347167969
1,84.0,122.46434020996094
1,88.0,122.02302551269531
1,92.0,121.58341217041016
1,96.0,121.13748168945312
1,100.0,120.6821060180664
1,104.0,120.20968627929688
1,108.0,119.72486114501953
1,112.0,119.23136138916016
1,116.0,118.72783660888672
1,120.0,118.21562194824219
1,124.0,117.69462585449219
1,128.0,117.1584243774414
1,132.0,116.6048583984375
1,136.0,116.0346908569336
1,140.0,115.44490814208984
1,144.0,114.84599304199219
1,148.0,114.2518310546875
1,152.0,113.67854309082031
1,156.0,113.14047241210938
1,160.0,112.62513732910156
1,164.0,112.1286392211914
1,168.0,111.64909362792969
1,172.0,111.17694091796875
1,176.0,110.7135238647461
1,180.0,110.2804946899414
1,184.0,109.88978576660156
1,188.0,109.54851531982422
1,192.0,109.28300476074219
1,196.0,109.09097290039062
1,200.0,108.96442413330078
1,204.0,108.91751098632812
1,208.0,108.9487533569336
1,212.0,109.05303192138672
1,216.0,109.2476806640625
1,220.0,109.54823303222656
1,224.0,109.9189224243164
1,228.0,110.32445526123047
1,232.0,110.66720581054688
1,236.0,110.93576049804688
1,240.0,111.12288665771484
1,244.0,111.25987243652344
1,248.0,111.41482543945312
1,252.0,111.59928131103516
1,256.0,111.84309387207031
1,260.0,112.09524536132812
1,264.0,112.33163452148438
1,268.0,112.52237701416016
1,272.0,112.66175079345703
1,276.0,112.76160430908203
1,280.0,112.8302001953125
1,284.0,112.88926696777344
1,288.0,112.93892669677734
1,292.0,112.97820281982422
1,296.0,112.9912109375
1,300.0,112.97715759277344
1,304.0,112.9339370727539
1,308.0,112.85240936279297
1,312.0,112.78006744384766
1,316.0,112.71630859375
1,320.0,112.67092895507812
2,0.0,136.53701782226562
2,4.0,136.13282775878906
2,8.0,135.68600463867188
2,12.0,135.20480346679688
2,16.0,134.7018585205078
2,20.0,134.2123260498047
2,24.0,133.7482147216797
2,28.0,133.3249969482422
2,32.0,132.93060302734375
2,36.0,132.55140686035156
2,40.0,132.1764678955078
2,44.0,131.79718017578125
2,48.0,131.4091033935547
2,52.0,131.00555419921875
2,56.0,130.5778045654297
2,60.0,130.1253662109375
2,64.0,129.64297485351562
2,68.0,129.12478637695312
2,72.0,128.581298828125
2,76.0,128.01657104492188
2,80.0,127.44236755371094
2,84.0,126.87691497802734
2,88.0,126.32704162597656
