profile,distance_m,elevation_m
1,0.0,163.08656311035156
1,4.0,162.670166015625
1,8.0,162.22039794921875
1,12.0,161.74234008789062
1,16.0,161.24391174316406
1,20.0,160.743896484375
1,24.0,160.25143432617188
1,28.0,159.77247619628906
1,32.0,159.3080596923828
1,36.0,158.85081481933594
1,40.0,158.39561462402344
1,44.0,157.9330291748047
1,48.0,157.45957946777344
1,52.0,156.97459411621094
1,56.0,156.4757843017578
1,60.0,155.96487426757812
1,64.0,155.44522094726562
1,68.0,154.9179229736328
1,72.0,154.38446044921875
1,76.0,153.8470916748047
1,80.0,153.30850219726562
1,84.0,152.77296447753906
1,88.0,152.24293518066406
1,92.0,151.7228240966797
1,96.0,151.21331787109375
1,100.0,150.70721435546875
1,104.0,150.197509765625
1,108.0,149.68003845214844
1,112.0,149.15098571777344
1,116.0,148.6094512939453
1,120.0,148.06338500976562
1,124.0,147.52059936523438
1,128.0,146.98040771484375
1,132.0,146.4455108642578
1,136.0,145.92123413085938
1,140.0,145.40965270996094
1,144.0,144.9176025390625
1,148.0,144.44595336914062
1,152.0,143.9943084716797
1,156.0,143.56329345703125
1,160.0,143.15219116210938
1,164.0,142.76712036132812
1,168.0,142.41751098632812
1,172.0,142.1182403564453
1,176.0,141.8678436279297
1,180.0,141.66867065429688
1,184.0,141.5284423828125
1,188.0,141.4392852783203
1,192.0,141.39901733398438
1,196.0,141.40243530273438
1,200.0,141.44720458984375
1,204.0,141.52371215820312
1,208.0,141.62583923339844
1,212.0,141.7554931640625
1,216.0,141.90548706054688
1,220.0,142.0706329345703
1,224.0,142.24996948242188
1,228.0,142.43995666503906
1,232.0,142.63450622558594
1,236.0,142.8351593017578
1,240.0,143.04063415527344
1,244.0,143.25018310546875
1,248.0,143.46453857421875
1,252.0,143.68243408203125
1,256.0,143.90499877929688
1,260.0,144.13320922851562
1,264.0,144.36505126953125
1,268.0,144.59994506835938
1,272.0,144.83741760253906
1,276.0,145.07643127441406
1,280.0,145.31900024414062
1,284.0,145.5692901611328
1,288.0,145.82896423339844
1,292.0,146.09881591796875
1,296.0,146.3815460205078
1,300.0,146.67413330078125
1,304.0,146.97569274902344
1,308.0,147.288818359375
1,312.0,147.6206512451172
1,316.0,147.97183227539062
1,320.0,148.3446044921875
2,0.0,169.0513458251953
2,4.0,168.69728088378906
2,8.0,168.336181640625
2,12.0,167.96804809570312
2,16.0,167.59263610839844
2,20.0,167.21115112304688
2,24.0,166.82379150390625
2,28.0,166.4287872314453
2,32.0,166.02035522460938
2,36.0,165.5986785888672
2,40.0,165.1629180908203
2,44.0,164.7087860107422
2,48.0,164.2412109375
2,52.0,163.76295471191406
2,56.0,163.2740936279297
2,60.0,162.77125549316406
2,64.0,162.25428771972656
2,68.0,161.7199249267578
2,72.0,161.1677703857422
2,76.0,160.60797119140625
2,80.0,160.0474853515625
2,84.0,159.4954071044922
2,88.0,158.9532470703125
2,92.0,158.41799926757812
2,96.0,157.88723754882812
2,100.0,157.35574340820312
2,104.0,156.82083129882812
2,108.0,156.2823944091797
2,112.0,155.74295043945312
2,116.0,155.19671630859375
2,120.0,154.6448516845703
2,124.0,154.0888671875
2,128.0,153.5283660888672
2,132.0,152.96878051757812
2,136.0,152.4148406982422
2,140.0,151.86770629882812
2,144.0,151.32577514648438
2,148.0,150.7882537841797
2,152.0,150.25579833984375
2,156.0,149.72702026367188
2,160.0,149.2008514404297
2,164.0,148.67684936523438
2,168.0,148.14845275878906
2,172.0,147.61387634277344
2,176.0,147.07827758789062
2,180.0,146.54527282714844
2,184.0,146.02430725097656
2,188.0,145.52273559570312
2,192.0,145.0504608154297
2,196.0,144.62271118164062
2,200.0,144.25904846191406
2,204.0,143.95848083496094
2,208.0,143.7175750732422
2,212.0,143.54454040527344
2,216.0,143.42994689941406
2,220.0,143.3702392578125
2,224.0,143.36386108398438
2,228.0,143.40956115722656
2,232.0,143.49749755859375
2,236.0,143.62001037597656
2,240.0,143.78050231933594
2,244.0,143.9711151123047
2,248.0,144.18307495117188
2,252.0,144.4106903076172
2,256.0,144.6437530517578
2,260.0,144.8743133544922
2,264.0,145.10203552246094
2,268.0,145.3258056640625
2,272.0,145.54617309570312
2,276.0,145.76434326171875
2,280.0,145.98004150390625
2,284.0,146.191162109375
2,288.0,146.39981079101562
2,292.0,146.60903930664062
2,296.0,146.82757568359375
2,300.0,147.06016540527344
2,304.0,147.30963134765625
2,308.0,147.58203125
2,312.0,147.88003540039062
2,316.0,148.19369506835938
2,320.0,148.5186309814453
3,0.0,167.4677734375
3,4.0,167.02655029296875
3,8.0,166.5775146484375
3,12.0,166.11903381347656
3,16.0,165.6490020751953
3,20.0,165.16253662109375
3,24.0,164.65892028808594
3,28.0,164.13946533203125
3,32.0,163.60755920410156
3,36.0,163.0617218017578
3,40.0,162.49826049804688
3,44.0,161.90919494628906
3,48.0,161.29681396484375
3,52.0,160.6662139892578
3,56.0,160.0325164794922
3,60.0,159.41336059570312
3,64.0,158.8036651611328
3,68.0,158.2036590576172
3,72.0,157.615234375
3,76.0,157.02781677246094
3,80.0,156.437255859375
3,84.0,155.84963989257812
3,88.0,155.2620086669922
3,92.0,154.6699676513672
3,96.0,154.07823181152344
3,100.0,153.4874725341797
3,104.0,152.8929443359375
3,108.0,152.29434204101562
3,112.0,151.6941680908203
3,116.0,151.1002655029297
3,120.0,150.5152130126953
3,124.0,149.94686889648438
3,128.0,149.40126037597656
3,132.0,148.87576293945312
3,136.0,148.37660217285156
3,140.0,147.9202117919922
3,144.0,147.5241241455078
3,148.0,147.18519592285156
3,152.0,146.9080810546875
3,156.0,146.68528747558594
3,160.0,146.5113983154297
3,164.0,146.39102172851562
3,168.0,146.32046508789062
3,172.0,146.30123901367188
3,176.0,146.322021484375
3,180.0,146.38206481933594
3,184.0,146.48831176757812
3,188.0,146.6356658935547
3,192.0,146.8223114013672
3,196.0,147.0445098876953
3,200.0,147.30215454101562
3,204.0,147.58567810058594
3,208.0,147.89260864257812
3,212.0,148.2281951904297
3,216.0,148.5860595703125
3,220.0,148.9640350341797
3,224.0,149.3636474609375
3,228.0,149.78712463378906
3,232.0,150.2275848388672
3,236.0,150.68190002441406
3,240.0,151.1490478515625
3,244.0,151.61680603027344
3,248.0,152.0803985595703
3,252.0,152.53607177734375
3,256.0,152.97793579101562
3,260.0,153.40638732910156
3,264.0,153.8229522705078
3,268.0,154.22457885742188
3,272.0,154.60922241210938
3,276.0,154.97714233398438
3,280.0,155.32411193847656
3,284.0,155.64285278320312
3,288.0,155.939697265625
3,292.0,156.22021484375
3,296.0,156.4916534423828
3,300.0,156.76551818847656
3,304.0,157.0449981689453
3,308.0,157.32826232910156
3,312.0,157.6128387451172
3,316.0,157.89830017089844
3,320.0,158.186767578125
