profile,distance_m,elevation_m
1,0.0,153.3133544921875
1,4.0,152.3389129638672
1,8.0,151.37301635742188
1,12.0,150.43492126464844
1,16.0,149.54005432128906
1,20.0,148.69290161132812
1,24.0,147.90805053710938
1,28.0,147.17562866210938
1,32.0,146.49468994140625
1,36.0,145.86087036132812
1,40.0,145.2647247314453
1,44.0,144.69822692871094
1,48.0,144.1474151611328
1,52.0,143.59750366210938
1,56.0,143.0366973876953
1,60.0,142.46243286132812
1,64.0,141.87371826171875
1,68.0,141.27630615234375
1,72.0,140.67401123046875
1,76.0,140.06918334960938
1,80.0,139.4663848876953
1,84.0,138.86563110351562
1,88.0,138.26991271972656
1,92.0,137.68045043945312
1,96.0,137.09689331054688
1,100.0,136.51953125
1,104.0,135.94488525390625
1,108.0,135.37030029296875
1,112.0,134.79330444335938
1,116.0,134.21035766601562
1,120.0,133.62167358398438
1,124.0,133.024658203125
1,128.0,132.42298889160156
1,132.0,131.82435607910156
1,136.0,131.23171997070312
1,140.0,130.66091918945312
1,144.0,130.1145477294922
1,148.0,129.59571838378906
1,152.0,129.1033477783203
1,156.0,128.62355041503906
1,160.0,128.1539764404297
1,164.0,127.68789672851562
1,168.0,127.22200012207031
1,172.0,126.75467681884766
1,176.0,126.28558349609375
1,180.0,125.81562042236328
1,184.0,125.34793853759766
1,188.0,124.88671875
1,192.0,124.43365478515625
1,196.0,123.99394226074219
1,200.0,123.56717681884766
1,204.0,123.15325164794922
1,208.0,122.75259399414062
1,212.0,122.36357116699219
1,216.0,121.9872817993164
1,220.0,121.62236022949219
1,224.0,121.26838684082031
1,228.0,120.92495727539062
1,232.0,120.59223175048828
1,236.0,120.26982116699219
1,240.0,119.95972442626953
1,244.0,119.66316223144531
1,248.0,119.38137817382812
1,252.0,119.11573791503906
1,256.0,118.86417388916016
1,260.0,118.62675476074219
1,264.0,118.40345001220703
1,268.0,118.19403076171875
1,272.0,117.99895477294922
1,276.0,117.81867980957031
1,280.0,117.65217590332031
1,284.0,117.49834442138672
1,288.0,117.35646057128906
1,292.0,117.22399139404297
1,296.0,117.10218048095703
1,300.0,116.99105834960938
1,304.0,116.88963317871094
1,308.0,116.799560546875
1,312.0,116.71839904785156
1,316.0,116.64681243896484
1,320.0,116.58349609375
2,0.0,198.47747802734375
2,4.0,197.91244506835938
2,8.0,197.3347625732422
2,12.0,196.73422241210938
2,16.0,196.10562133789062
2,20.0,195.4524688720703
2,24.0,194.7804718017578
2,28.0,194.09817504882812
2,32.0,193.40586853027344
2,36.0,192.6974334716797
2,40.0,191.961181640625
2,44.0,191.18792724609375
2,48.0,190.37457275390625
2,52.0,189.52342224121094
2,56.0,188.645263671875
2,60.0,187.74996948242188
2,64.0,186.83633422851562
2,68.0,185.89549255371094
2,72.0,184.9039764404297
2,76.0,183.82708740234375
2,80.0,182.62960815429688
2,84.0,181.2755584716797
2,88.0,179.7484893798828
2,92.0,178.05189514160156
2,96.0,176.21322631835938
2,100.0,174.2703094482422
2,104.0,172.27435302734375
2,108.0,170.2654266357422
2,112.0,168.27081298828125
2,116.0,166.31295776367188
2,120.0,164.3988800048828
2,124.0,162.53648376464844
2,128.0,160.72402954101562
2,132.0,158.95579528808594
2,136.0,157.23593139648438
2,140.0,155.55001831054688
2,144.0,153.90603637695312
2,148.0,152.30532836914062
2,152.0,150.7472686767578
2,156.0,149.2576446533203
2,160.0,147.81991577148438
2,164.0,146.4452362060547
2,168.0,145.1304168701172
2,172.0,143.85861206054688
2,176.0,142.6397247314453
