profile,distance_m,elevation_m
1,0.0,112.07064819335938
1,4.0,111.93864440917969
1,8.0,111.78628540039062
1,12.0,111.61532592773438
1,16.0,111.41853332519531
1,20.0,111.19607543945312
1,24.0,110.95309448242188
1,28.0,110.67801666259766
1,32.0,110.34983825683594
1,36.0,109.98228454589844
1,40.0,109.57125854492188
1,44.0,109.10014343261719
1,48.0,108.60807037353516
1,52.0,108.10411834716797
1,56.0,107.58248138427734
1,60.0,107.05620574951172
1,64.0,106.52111053466797
1,68.0,105.97946166992188
1,72.0,105.43985748291016
1,76.0,104.90869140625
1,80.0,104.3928451538086
1,84.0,103.88118743896484
1,88.0,103.3658218383789
1,92.0,102.83854675292969
1,96.0,102.23643493652344
1,100.0,101.57122039794922
1,104.0,100.8409194946289
1,108.0,100.00154876708984
1,112.0,99.10324096679688
1,116.0,98.18000793457031
1,120.0,97.23064422607422
1,124.0,96.26663208007812
1,128.0,95.29039001464844
1,132.0,94.2887191772461
1,136.0,93.26686096191406
1,140.0,92.24455261230469
1,144.0,91.22853088378906
1,148.0,90.24225616455078
1,152.0,89.27935028076172
1,156.0,88.33472442626953
1,160.0,87.41442108154297
1,164.0,86.50662994384766
1,168.0,85.60011291503906
1,172.0,84.69158935546875
1,176.0,83.79032897949219
1,180.0,82.90306091308594
1,184.0,82.04039764404297
1,188.0,81.24445343017578
1,192.0,80.47579193115234
1,196.0,79.72249603271484
1,200.0,78.96728515625
1,204.0,78.1973876953125
1,208.0,77.41856384277344
1,212.0,76.64122772216797
1,216.0,75.88086700439453
1,220.0,75.13006591796875
1,224.0,74.38800048828125
1,228.0,73.6627426147461
1,232.0,72.94064331054688
1,236.0,72.22724151611328
1,240.0,71.55144500732422
1,244.0,70.9034652709961
1,248.0,70.27610778808594
1,252.0,69.68045043945312
1,256.0,69.1041030883789
1,260.0,68.53791809082031
1,264.0,67.9842529296875
1,268.0,67.441162109375
1,272.0,66.89958953857422
1,276.0,66.36030578613281
1,280.0,65.84307861328125
1,284.0,65.34452056884766
1,288.0,64.85999298095703
1,292.0,64.40386199951172
1,296.0,63.97684860229492
1,300.0,63.585472106933594
1,304.0,63.2624626159668
1,308.0,63.02089309692383
1,312.0,62.82596206665039
1,316.0,62.66496276855469
1,320.0,62.5306396484375
2,0.0,110.72777557373047
2,4.0,110.35852813720703
2,8.0,109.98892974853516
2,12.0,109.61917114257812
2,16.0,109.24412536621094
2,20.0,108.85562133789062
2,24.0,108.45361328125
2,28.0,108.032470703125
2,32.0,107.5904312133789
2,36.0,107.13997650146484
2,40.0,106.68103790283203
2,44.0,106.20574188232422
2,48.0,105.71967315673828
2,52.0,105.22096252441406
2,56.0,104.69273376464844
2,60.0,104.13764190673828
2,64.0,103.55594635009766
2,68.0,102.92542266845703
2,72.0,102.23200988769531
2,76.0,101.4822998046875
2,80.0,100.65898895263672
2,84.0,99.73329162597656
2,88.0,98.7578353881836
2,92.0,97.74866485595703
2,96.0,96.7177963256836
2,100.0,95.72041320800781
2,104.0,94.7520751953125
2,108.0,93.78934478759766
2,112.0,92.80254364013672
2,116.0,91.7748794555664
2,120.0,90.69219207763672
2,124.0,89.57828521728516
2,128.0,88.45347595214844
2,132.0,87.33190155029297
2,136.0,86.24380493164062
2,140.0,85.17833709716797
2,144.0,84.13482666015625
2,148.0,83.13306427001953
2,152.0,82.15795135498047
2,156.0,81.20730590820312
2,160.0,80.29149627685547
2,164.0,79.39359283447266
2,168.0,78.49700164794922
2,172.0,77.5884017944336
2,176.0,76.63573455810547
2,180.0,75.62551879882812
2,184.0,74.54037475585938
2,188.0,73.40242004394531
2,192.0,72.28914642333984
2,196.0,71.24586486816406
2,200.0,70.40629577636719
2,204.0,69.75748443603516
2,208.0,69.20375061035156
2,212.0,68.70447540283203
2,216.0,68.16874694824219
2,220.0,67.56513214111328
2,224.0,66.91671752929688
2,228.0,66.28616333007812
2,232.0,65.70507049560547
2,236.0,65.20635986328125
2,240.0,64.8210220336914
2,244.0,64.4859848022461
2,248.0,64.1578598022461
2,252.0,63.78360366821289
2,256.0,63.34929656982422
2,260.0,62.8853759765625
2,264.0,62.43340301513672
2,268.0,62.049686431884766
2,272.0,61.73151779174805
2,276.0,61.475162506103516
2,280.0,61.302730560302734
2,284.0,61.16957092285156
2,288.0,61.06903076171875
2,292.0,61.01292419433594
2,296.0,60.98762130737305
2,300.0,60.988948822021484
2,304.0,61.01565170288086
2,308.0,61.05906677246094
2,312.0,61.10560607910156
2,316.0,61.15435028076172
2,320.0,61.211177825927734
3,0.0,79.4307861328125
3,4.0,78.60265350341797
3,8.0,77.76988983154297
3,12.0,76.93663024902344
3,16.0,76.10489654541016
3,20.0,75.28341674804688
3,24.0,74.47860717773438
3,28.0,73.69901275634766
3,32.0,72.96353912353516
3,36.0,72.25762939453125
3,40.0,71.5805892944336
3,44.0,70.95063781738281
3,48.0,70.33955383300781
3,52.0,69.744140625
3,56.0,69.17843627929688
3,60.0,68.62622833251953
3,64.0,68.08524322509766
3,68.0,67.56193542480469
3,72.0,67.05583190917969
3,76.0,66.56661224365234
