rank,selection_tier,ideal_match,paragliding_score,name,grid_ref,facing,aspect_deg,distance_miles,representative_slope_deg,vertical_relief_m,vertical_relief_ft,ridge_length_m,ridge_8deg_m,ridge_9_5deg_m,percent_face_8deg,percent_face_9_5deg,connected_area_ha,downslope_span_m,roughness_m,gaps_count,largest_gap_m,slope_score,relief_score,ridge_score,exposure_proxy_score,continuity_score,launch_proxy_score,aspect_score,whitewool_similarity_pct,latitude,longitude,easting,northing,category,status
1,Ideal,True,82.25079887209459,Unnamed face near SU 742 269,SU 7393 2688,SSE,167.576171875,6.622829306318886,17.04910659790039,60.06982421875,197.0794820898437,2076.4635183892096,2074.6742241389584,2046.9241557773785,93.71827542627469,84.51530030869952,60.26415602488889,685.5077939623297,8.455475807189941,0,0,100.0,44.52202690972222,100.0,76.04189453125001,100.0,78.78426074981688,77.4112215909091,48.34447002843218,51.036541855799314,-0.9469426040751612,473932.2950491085,126880.95040697113,Likely ridge-soarable,Likely ridge-soarable
2,Ideal,True,80.95759702886606,Unnamed face near TQ 091 490,TQ 0973 4864,S,185.68492126464844,28.152632316723327,12.31922721862793,43.72123718261719,143.44238379821778,1466.4916043664562,1534.9904571976513,1503.119212437712,73.20047524042234,61.74314600192786,51.74007614506666,636.5420457677101,3.794415473937988,0,0,100.0,26.356930202907986,100.0,66.23274230957031,100.0,96.91060649024115,89.66377951882102,57.89793054058262,51.22645139119241,-0.4298310091671986,509737.7300614185,148644.35158847703,Likely ridge-soarable,Likely ridge-soarable
3,Ideal,True,80.5368040923177,Unnamed face near TQ 105 486,TQ 1062 4874,S,171.2005615234375,28.697035124497067,12.621654510498049,44.966217041015625,147.5269635168457,2599.549493679777,2799.709783710656,2799.4281974082114,76.93473501888427,65.78339628088239,96.97661876799998,609.2220743587095,3.94115948677063,0,0,100.0,27.740241156684025,100.0,66.97973022460938,100.0,96.33993532922534,84.00102095170455,49.895276092318056,51.22721227572943,-0.4170997717326332,510624.85152897856,148748.034764091,Likely ridge-soarable,Likely ridge-soarable
4,Ideal,True,80.51672005601647,Unnamed face near SU 727 253,SU 7256 2540,SSE,156.54840087890625,6.825504952514826,14.923152923583984,58.49385070800781,191.90896515686035,2418.749235555646,2511.2745595839806,2501.3686040513567,85.06108848574603,73.4394668641244,71.29070338257777,789.231675188872,8.189140319824219,0,0,100.0,42.77094523111979,100.0,75.09631042480468,100.0,72.25698153177898,57.36072887073864,54.857942218259346,51.02346330031016,-0.966705512048777,472567.0256783006,125406.95131471552,Likely ridge-soarable,Likely ridge-soarable
5,Ideal,True,79.62967200273118,Unnamed face near TQ 124 495,TQ 1245 4949,SSE,149.2933349609375,29.925464844000118,14.034088134765623,51.2929801940918,168.28406113998412,2598.9128004727536,2799.8663479033858,2799.324848570337,84.90361528435206,74.75475063456129,89.01611441742222,583.0020786226378,5.967363357543945,0,0,100.0,34.76997799343533,100.0,70.77578811645509,100.0,88.46025360955132,44.169699928977266,54.86593457687249,51.233612283294576,-0.3905985595296264,512459.6461479916,149499.92070331817,Likely ridge-soarable,Likely ridge-soarable
6,Ideal,True,79.25465903726814,Unnamed face near SU 745 314,SU 7439 3142,S,171.31451416015625,5.215785433176141,13.113131523132324,46.43693542480469,152.3521552191162,1471.8030582396314,1433.1226485431544,1410.928443638608,76.22107541201932,63.7689362410521,36.88057476177778,768.5829098760441,9.556890487670898,0,0,100.0,29.37437269422743,100.0,67.86216125488282,100.0,73.48164664374457,84.20820756392045,62.212078046622196,51.07736463597115,-0.9394628659082964,474391.3841669644,131428.13305903142,Likely ridge-soarable,Likely ridge-soarable
7,Ideal,True,78.51072283975303,Unnamed face near SU 714 196,SU 7165 1991,SSE,160.1883544921875,9.675810562016068,12.382729530334473,44.24853515625,145.17236408203124,1564.6569655059138,1427.6839719384443,1398.0121151920175,71.543471927415,59.65788487951055,83.14820443253333,1209.6666084385795,6.801423072814941,0,0,100.0,26.94281684027778,100.0,66.54912109375,100.0,85.21668805016411,63.97882634943181,55.3264405432171,50.97419002435819,-0.980807992194998,471653.6968077349,119913.8269052434,Likely ridge-soarable,Likely ridge-soarable
8,Ideal,True,78.32853665398503,Pidham Hill,SU 6908 2280,SSW,198.25814819335935,7.52136570190156,11.891898155212402,42.4124755859375,139.14854640136718,1055.8254850225055,986.052613757376,1083.9906424891087,64.25526896574962,48.7187694795896,27.571972128177773,520.9746200084919,5.89293909072876,0,0,100.0,24.902750651041668,100.0,65.4474853515625,98.97005282497288,79.01451190312703,66.80336692116482,72.74752869452338,51.00047414354536,-1.0167985239456674,469087.89497839176,122802.41469806591,Likely ridge-soarable,Likely ridge-soarable
9,Ideal,True,77.9147533591705,Unnamed face near SU 590 783,SU 5948 7947,SSE,166.12030029296875,28.199285079645783,11.18154239654541,37.24871444702149,122.20707230636596,977.0512769235648,1177.4861872059992,1096.7363091826555,71.0627690913211,55.4498073872649,18.162502283377776,657.5571808170207,4.885274410247803,0,0,100.0,19.165238274468326,100.0,62.349228668212895,100.0,92.66837729348076,74.76418235085227,53.65072941755249,51.51104779180367,-1.1442543761217234,459483.1659251373,179471.4149408562,Likely ridge-soarable,Likely ridge-soarable
10,Ideal,True,77.82938788637293,Unnamed face near SU 644 779,SU 6438 7801,SSE,161.2899169921875,26.97553052553612,12.173622131347656,42.06627655029297,138.0127227572632,1016.7886578746838,831.5250787572586,753.2060474102036,65.4891066585003,50.34342462157669,19.9428886144,545.4843039997213,6.060495376586914,0,0,100.0,24.518085055881077,100.0,65.23976593017579,100.0,80.90913944774204,65.98166725852272,59.51425861528108,51.49738601885527,-1.0739526850709378,464381.0456222342,178011.40582014946,Likely ridge-soarable,Likely ridge-soarable
