profile,distance_m,elevation_m
1,0.0,172.8208465576172
1,4.0,172.53457641601562
1,8.0,172.22637939453125
1,12.0,171.89889526367188
1,16.0,171.56063842773438
1,20.0,171.22633361816406
1,24.0,170.91127014160156
1,28.0,170.62351989746094
1,32.0,170.36053466796875
1,36.0,170.11279296875
1,40.0,169.86837768554688
1,44.0,169.61822509765625
1,48.0,169.36000061035156
1,52.0,169.0980987548828
1,56.0,168.8391876220703
1,60.0,168.5861053466797
1,64.0,168.3368377685547
1,68.0,168.09864807128906
1,72.0,167.88052368164062
1,76.0,167.7032928466797
1,80.0,167.59214782714844
1,84.0,167.56546020507812
1,88.0,167.6292724609375
1,92.0,167.77734375
1,96.0,167.9956817626953
1,100.0,168.27679443359375
1,104.0,168.6092071533203
1,108.0,168.99330139160156
1,112.0,169.439208984375
1,116.0,169.95472717285156
1,120.0,170.5368194580078
1,124.0,171.1705322265625
1,128.0,171.8369903564453
1,132.0,172.52403259277344
1,136.0,173.23175048828125
1,140.0,173.97006225585938
1,144.0,174.7457733154297
1,148.0,175.5537567138672
1,152.0,176.3765106201172
1,156.0,177.19041442871094
1,160.0,177.97256469726562
1,164.0,178.69454956054688
1,168.0,179.34194946289062
1,172.0,179.91571044921875
1,176.0,180.41253662109375
1,180.0,180.83395385742188
1,184.0,181.18765258789062
1,188.0,181.48690795898438
1,192.0,181.7460479736328
1,196.0,181.9634552001953
1,200.0,182.13832092285156
1,204.0,182.283203125
1,208.0,182.39622497558594
1,212.0,182.47914123535156
1,216.0,182.5359344482422
1,220.0,182.5694122314453
1,224.0,182.57847595214844
1,228.0,182.5501708984375
1,232.0,182.472900390625
1,236.0,182.3656005859375
1,240.0,182.2338104248047
1,244.0,182.08450317382812
1,248.0,181.9200439453125
1,252.0,181.73118591308594
1,256.0,181.4929962158203
1,260.0,181.16366577148438
1,264.0,180.694580078125
1,268.0,180.0670928955078
1,272.0,179.26693725585938
1,276.0,178.29776000976562
1,280.0,177.17628479003906
1,284.0,175.9256591796875
1,288.0,174.56979370117188
1,292.0,173.1291961669922
1,296.0,171.6178436279297
1,300.0,170.0642547607422
1,304.0,168.4875946044922
1,308.0,166.90365600585938
1,312.0,165.32313537597656
1,316.0,163.7523193359375
1,320.0,162.19552612304688
2,0.0,170.28501892089844
2,4.0,169.3695831298828
2,8.0,168.38320922851562
2,12.0,167.30711364746094
2,16.0,166.1353759765625
2,20.0,164.8698272705078
2,24.0,163.52027893066406
2,28.0,162.10574340820312
2,32.0,160.65316772460938
2,36.0,159.18775939941406
2,40.0,157.73565673828125
2,44.0,156.29898071289062
2,48.0,154.86448669433594
2,52.0,153.4168243408203
2,56.0,151.95205688476562
2,60.0,150.48275756835938
2,64.0,149.03294372558594
2,68.0,147.6322021484375
2,72.0,146.2984161376953
2,76.0,145.0373992919922
2,80.0,143.84930419921875
2,84.0,142.7316131591797
2,88.0,141.6776885986328
2,92.0,140.67332458496094
2,96.0,139.7012481689453
2,100.0,138.75791931152344
2,104.0,137.85357666015625
2,108.0,137.00027465820312
2,112.0,136.19984436035156
2,116.0,135.4400634765625
2,120.0,134.70458984375
2,124.0,133.98439025878906
2,128.0,133.27981567382812
2,132.0,132.59786987304688
2,136.0,131.94076538085938
2,140.0,131.3053741455078
2,144.0,130.68777465820312
2,148.0,130.0849609375
2,152.0,129.4960479736328
2,156.0,128.92127990722656
2,160.0,128.36048889160156
2,164.0,127.81575012207031
2,168.0,127.28347778320312
2,172.0,126.7588882446289
2,176.0,126.23969268798828
2,180.0,125.72195434570312
2,184.0,125.20128631591797
2,188.0,124.67467498779297
