profile,distance_m,elevation_m
1,0.0,157.77520751953125
1,4.0,156.25201416015625
1,8.0,154.7860870361328
1,12.0,153.4314422607422
1,16.0,152.2003173828125
1,20.0,151.0867919921875
1,24.0,150.0843505859375
1,28.0,149.18556213378906
1,32.0,148.40484619140625
1,36.0,147.706787109375
1,40.0,147.0675811767578
1,44.0,146.49014282226562
1,48.0,145.99313354492188
1,52.0,145.59042358398438
1,56.0,145.2654571533203
1,60.0,144.95765686035156
1,64.0,144.58554077148438
1,68.0,144.09970092773438
1,72.0,143.4977264404297
1,76.0,142.81507873535156
1,80.0,142.08409118652344
1,84.0,141.29920959472656
1,88.0,140.42626953125
1,92.0,139.45005798339844
1,96.0,138.40968322753906
1,100.0,137.391845703125
1,104.0,136.47853088378906
1,108.0,135.70599365234375
1,112.0,135.06021118164062
1,116.0,134.49183654785156
1,120.0,133.9174041748047
1,124.0,133.23831176757812
1,128.0,132.35647583007812
1,132.0,131.22747802734375
1,136.0,129.8958740234375
1,140.0,128.4779510498047
1,144.0,127.1008071899414
1,148.0,125.84522247314453
1,152.0,124.73324584960938
1,156.0,123.7357406616211
1,160.0,122.8150863647461
1,164.0,121.9448471069336
1,168.0,121.11123657226562
1,172.0,120.3062744140625
1,176.0,119.53047180175781
1,180.0,118.77398681640625
1,184.0,118.02720642089844
1,188.0,117.28919219970703
1,192.0,116.56083679199219
1,196.0,115.84058380126953
1,200.0,115.12273406982422
1,204.0,114.4056625366211
1,208.0,113.69612121582031
1,212.0,113.00189208984375
1,216.0,112.33621215820312
1,220.0,111.70347595214844
1,224.0,111.09540557861328
1,228.0,110.49369049072266
1,232.0,109.87983703613281
1,236.0,109.25296783447266
1,240.0,108.60034942626953
1,244.0,107.9371337890625
1,248.0,107.28300476074219
1,252.0,106.6489028930664
1,256.0,106.03248596191406
1,260.0,105.42440795898438
1,264.0,104.83055114746094
1,268.0,104.23699951171875
1,272.0,103.65180969238281
1,276.0,103.08476257324219
1,280.0,102.53527069091797
1,284.0,101.98592376708984
1,288.0,101.40582275390625
1,292.0,100.76765441894531
1,296.0,100.05854797363281
1,300.0,99.29010009765625
1,304.0,98.49227142333984
1,308.0,97.69544219970703
1,312.0,96.920166015625
1,316.0,96.17818450927734
1,320.0,95.47883605957031
2,0.0,182.16590881347656
2,4.0,181.65310668945312
2,8.0,181.12680053710938
2,12.0,180.56991577148438
2,16.0,179.9720001220703
2,20.0,179.3323516845703
2,24.0,178.65869140625
2,28.0,177.96231079101562
2,32.0,177.25173950195312
2,36.0,176.53018188476562
2,40.0,175.7960662841797
2,44.0,175.04705810546875
2,48.0,174.28009033203125
2,52.0,173.48695373535156
2,56.0,172.65260314941406
2,60.0,171.76266479492188
2,64.0,170.82131958007812
