profile,distance_m,elevation_m
1,0.0,162.24212646484375
1,4.0,161.6851043701172
1,8.0,161.1164093017578
1,12.0,160.5342559814453
1,16.0,159.93382263183594
1,20.0,159.3206024169922
1,24.0,158.6898193359375
1,28.0,158.03857421875
1,32.0,157.3718719482422
1,36.0,156.67926025390625
1,40.0,155.95947265625
1,44.0,155.2179718017578
1,48.0,154.44129943847656
1,52.0,153.6389617919922
1,56.0,152.81280517578125
1,60.0,151.9593048095703
1,64.0,151.093994140625
1,68.0,150.21722412109375
1,72.0,149.32847595214844
1,76.0,148.4274139404297
1,80.0,147.49932861328125
1,84.0,146.51646423339844
1,88.0,145.47023010253906
1,92.0,144.3397979736328
1,96.0,143.17848205566406
1,100.0,142.0347137451172
1,104.0,140.98118591308594
1,108.0,139.9954071044922
1,112.0,139.03009033203125
1,116.0,138.0366668701172
1,120.0,137.0157470703125
1,124.0,135.99478149414062
1,128.0,135.02720642089844
1,132.0,134.0960235595703
1,136.0,133.2020721435547
1,140.0,132.31439208984375
1,144.0,131.40963745117188
1,148.0,130.4897918701172
1,152.0,129.55613708496094
1,156.0,128.60267639160156
1,160.0,127.66011810302734
1,164.0,126.72901916503906
1,168.0,125.82402801513672
1,172.0,124.9572525024414
1,176.0,124.1232681274414
1,180.0,123.31700897216797
1,184.0,122.53145599365234
1,188.0,121.76371002197266
1,192.0,121.012939453125
1,196.0,120.30023956298828
1,200.0,119.62876892089844
1,204.0,119.02217864990234
1,208.0,118.46703338623047
1,212.0,117.94834899902344
1,216.0,117.43681335449219
1,220.0,116.90667724609375
1,224.0,116.3501968383789
1,228.0,115.771728515625
1,232.0,115.20857238769531
1,236.0,114.68159484863281
1,240.0,114.21873474121094
1,244.0,113.79979705810547
1,248.0,113.42334747314453
1,252.0,113.06718444824219
1,256.0,112.71947479248047
1,260.0,112.37843322753906
1,264.0,112.04792785644531
1,268.0,111.73252868652344
1,272.0,111.45440673828125
1,276.0,111.20968627929688
1,280.0,111.0060043334961
1,284.0,110.85404205322266
1,288.0,110.73971557617188
1,292.0,110.6673583984375
1,296.0,110.63837432861328
1,300.0,110.63983154296875
