profile,distance_m,elevation_m
1,0.0,178.6400909423828
1,4.0,177.91722106933594
1,8.0,177.1998291015625
1,12.0,176.489501953125
1,16.0,175.7858123779297
1,20.0,175.08705139160156
1,24.0,174.3896942138672
1,28.0,173.68222045898438
1,32.0,172.95545959472656
1,36.0,172.1983642578125
1,40.0,171.40403747558594
1,44.0,170.57492065429688
1,48.0,169.7232666015625
1,52.0,168.86575317382812
1,56.0,168.01942443847656
1,60.0,167.1891326904297
1,64.0,166.36611938476562
1,68.0,165.5350341796875
1,72.0,164.68658447265625
1,76.0,163.826171875
1,80.0,162.97250366210938
1,84.0,162.14183044433594
1,88.0,161.33645629882812
1,92.0,160.54568481445312
1,96.0,159.75186157226562
1,100.0,158.92909240722656
1,104.0,158.04478454589844
1,108.0,157.08438110351562
1,112.0,156.0370635986328
1,116.0,154.90748596191406
1,120.0,153.71739196777344
1,124.0,152.50222778320312
1,128.0,151.31121826171875
1,132.0,150.17764282226562
1,136.0,149.11434936523438
1,140.0,148.11940002441406
1,144.0,147.17999267578125
1,148.0,146.2780303955078
1,152.0,145.39329528808594
1,156.0,144.51138305664062
1,160.0,143.62489318847656
1,164.0,142.73008728027344
1,168.0,141.82638549804688
1,172.0,140.91561889648438
1,176.0,140.0020751953125
1,180.0,139.09228515625
1,184.0,138.19287109375
1,188.0,137.31161499023438
1,192.0,136.45718383789062
1,196.0,135.6376953125
1,200.0,134.8635711669922
1,204.0,134.13136291503906
1,208.0,133.43399047851562
1,212.0,132.76319885253906
1,216.0,132.1112518310547
1,220.0,131.4733123779297
1,224.0,130.8509979248047
1,228.0,130.247802734375
1,232.0,129.66763305664062
1,236.0,129.11590576171875
1,240.0,128.59751892089844
1,244.0,128.11666870117188
1,248.0,127.68192291259766
1,252.0,127.29654693603516
1,256.0,126.95361328125
1,260.0,126.65010833740234
1,264.0,126.38138580322266
1,268.0,126.14195251464844
1,272.0,125.92803955078125
1,276.0,125.73648071289062
1,280.0,125.55916595458984
1,284.0,125.39454650878906
1,288.0,125.24241638183594
1,292.0,125.10330963134766
1,296.0,124.97895812988281
1,300.0,124.87425231933594
1,304.0,124.78524017333984
1,308.0,124.71244812011719
1,312.0,124.65528869628906
1,316.0,124.61222839355469
1,320.0,124.58153533935547
2,0.0,191.26573181152344
2,4.0,190.45602416992188
2,8.0,189.63150024414062
2,12.0,188.7865447998047
2,16.0,187.91586303710938
2,20.0,187.01376342773438
2,24.0,186.0743865966797
2,28.0,185.09048461914062
2,32.0,184.06605529785156
2,36.0,183.00587463378906
2,40.0,181.90914916992188
2,44.0,180.7640838623047
2,48.0,179.54908752441406
2,52.0,178.23434448242188
2,56.0,176.8115997314453
2,60.0,175.29136657714844
2,64.0,173.69515991210938
2,68.0,172.052978515625
2,72.0,170.3995819091797
2,76.0,168.77357482910156
2,80.0,167.21286010742188
2,84.0,165.74293518066406
2,88.0,164.3776397705078
2,92.0,163.1179962158203
2,96.0,161.95391845703125
2,100.0,160.86936950683594
2,104.0,159.83924865722656
2,108.0,158.83050537109375
2,112.0,157.81922912597656
2,116.0,156.78936767578125
2,120.0,155.73306274414062
2,124.0,154.64907836914062
2,128.0,153.54330444335938
2,132.0,152.4295654296875
2,136.0,151.32955932617188
2,140.0,150.26629638671875
2,144.0,149.25538635253906
2,148.0,148.2998046875
2,152.0,147.39187622070312
2,156.0,146.5137176513672
2,160.0,145.65577697753906
2,164.0,144.81617736816406
2,168.0,144.00161743164062
2,172.0,143.2260284423828
2,176.0,142.5166778564453
2,180.0,141.87387084960938
2,184.0,141.2901611328125
2,188.0,140.7494659423828
2,192.0,140.23341369628906
2,196.0,139.72731018066406
2,200.0,139.2225341796875
2,204.0,138.71463012695312
2,208.0,138.20333862304688
2,212.0,137.68988037109375
2,216.0,137.17642211914062
2,220.0,136.66583251953125
2,224.0,136.16336059570312
