profile,distance_m,elevation_m
1,0.0,172.292724609375
1,4.0,171.87985229492188
1,8.0,171.45816040039062
1,12.0,171.02633666992188
1,16.0,170.58872985839844
1,20.0,170.1294708251953
1,24.0,169.65768432617188
1,28.0,169.18031311035156
1,32.0,168.6940460205078
1,36.0,168.20465087890625
1,40.0,167.69989013671875
1,44.0,167.17190551757812
1,48.0,166.60484313964844
1,52.0,165.98548889160156
1,56.0,165.29214477539062
1,60.0,164.5120391845703
1,64.0,163.65647888183594
1,68.0,162.7292938232422
1,72.0,161.71009826660156
1,76.0,160.5499267578125
1,80.0,159.18614196777344
1,84.0,157.56126403808594
1,88.0,155.63018798828125
1,92.0,153.4370880126953
1,96.0,151.0520477294922
1,100.0,148.53646850585938
1,104.0,145.9716033935547
1,108.0,143.4141082763672
1,112.0,140.87794494628906
1,116.0,138.39581298828125
1,120.0,135.95298767089844
1,124.0,133.58273315429688
1,128.0,131.31890869140625
1,132.0,129.15899658203125
1,136.0,127.12776184082031
1,140.0,125.29473876953125
1,144.0,123.61206817626953
1,148.0,122.11534881591797
1,152.0,120.79521179199219
1,156.0,119.61507415771484
1,160.0,118.53141784667969
1,164.0,117.48731231689453
1,168.0,116.46930694580078
1,172.0,115.5314712524414
1,176.0,114.6934814453125
1,180.0,113.95576477050781
1,184.0,113.32782745361328
1,188.0,112.75334930419922
1,192.0,112.21763610839844
1,196.0,111.70217895507812
1,200.0,111.19679260253906
1,204.0,110.70809173583984
1,208.0,110.24810028076172
1,212.0,109.8061294555664
1,216.0,109.38990783691406
1,220.0,108.99376678466797
1,224.0,108.61412811279297
1,228.0,108.25392150878906
1,232.0,107.90662384033203
1,236.0,107.57237243652344
1,240.0,107.2593002319336
1,244.0,106.95787048339844
1,248.0,106.66789245605469
1,252.0,106.3909683227539
1,256.0,106.11872100830078
1,260.0,105.84957885742188
1,264.0,105.58445739746094
1,268.0,105.32173156738281
1,272.0,105.06541442871094
1,276.0,104.8181381225586
1,280.0,104.5844497680664
1,284.0,104.36821746826172
1,288.0,104.1666030883789
1,292.0,103.97676849365234
1,296.0,103.79188537597656
1,300.0,103.60650634765625
1,304.0,103.4203109741211
1,308.0,103.23670196533203
1,312.0,103.05906677246094
1,316.0,102.89472198486328
1,320.0,102.75040435791016
2,0.0,167.13955688476562
2,4.0,165.2085418701172
2,8.0,163.16473388671875
2,12.0,161.00119018554688
2,16.0,158.70802307128906
2,20.0,156.3174285888672
2,24.0,153.84031677246094
2,28.0,151.31021118164062
2,32.0,148.75462341308594
2,36.0,146.1936798095703
2,40.0,143.65652465820312
2,44.0,141.1531982421875
2,48.0,138.70904541015625
2,52.0,136.31956481933594
2,56.0,133.98886108398438
2,60.0,131.76614379882812
2,64.0,129.65182495117188
2,68.0,127.67193603515625
2,72.0,125.89628601074219
2,76.0,124.28192138671875
2,80.0,122.84248352050781
2,84.0,121.56465148925781
2,88.0,120.39063262939453
2,92.0,119.30918884277344
2,96.0,118.28826141357422
2,100.0,117.31205749511719
2,104.0,116.39362335205078
2,108.0,115.5464096069336
2,112.0,114.77054595947266
2,116.0,114.09183502197266
2,120.0,113.46585845947266
2,124.0,112.87544250488281
2,128.0,112.30017852783203
2,132.0,111.72817993164062
2,136.0,111.15888214111328
2,140.0,110.59954833984375
2,144.0,110.05575561523438
2,148.0,109.53594207763672
2,152.0,109.04170989990234
2,156.0,108.56793975830078
2,160.0,108.11286926269531
2,164.0,107.67503356933594
2,168.0,107.25749206542969
2,172.0,106.8773422241211
2,176.0,106.53379821777344
2,180.0,106.223876953125
2,184.0,105.95243835449219
2,188.0,105.70970916748047
2,192.0,105.50457763671875
2,196.0,105.34623718261719
2,200.0,105.22962188720703
2,204.0,105.16094970703125
2,208.0,105.141845703125
2,212.0,105.15997314453125
2,216.0,105.22553253173828
2,220.0,105.33293151855469
2,224.0,105.47683715820312
2,228.0,105.65477752685547
2,232.0,105.8478012084961
2,236.0,106.049560546875
2,240.0,106.25338745117188
2,244.0,106.45673370361328
2,248.0,106.65705108642578
2,252.0,106.8532943725586
2,256.0,107.04793548583984
2,260.0,107.24264526367188
2,264.0,107.44422149658203
2,268.0,107.65255737304688
2,272.0,107.87042236328125
2,276.0,108.09760284423828
2,280.0,108.33317565917969
2,284.0,108.58073425292969
2,288.0,108.83815002441406
2,292.0,109.10458374023438
2,296.0,109.3797836303711
2,300.0,109.65692138671875
2,304.0,109.93270874023438
2,308.0,110.1969985961914
2,312.0,110.44528198242188
2,316.0,110.67353820800781
2,320.0,110.87947845458984
3,0.0,185.8722686767578
3,4.0,185.6971893310547
3,8.0,185.5181884765625
3,12.0,185.336669921875
3,16.0,185.15496826171875
3,20.0,184.97264099121094
3,24.0,184.78611755371094
3,28.0,184.58551025390625
3,32.0,184.36082458496094
3,36.0,184.09410095214844
3,40.0,183.778076171875
3,44.0,183.4239044189453
3,48.0,183.04441833496094
3,52.0,182.66065979003906
3,56.0,182.29286193847656
3,60.0,181.956298828125
3,64.0,181.6456298828125
3,68.0,181.35675048828125
3,72.0,181.08154296875
3,76.0,180.80787658691406
3,80.0,180.5302734375
3,84.0,180.24392700195312
3,88.0,179.94529724121094
3,92.0,179.6338653564453
3,96.0,179.3120574951172
3,100.0,178.9815216064453
3,104.0,178.64146423339844
3,108.0,178.2941436767578
3,112.0,177.94190979003906
3,116.0,177.58563232421875
3,120.0,177.2278289794922
3,124.0,176.86996459960938
3,128.0,176.51303100585938
3,132.0,176.1547088623047
3,136.0,175.7945556640625
3,140.0,175.4348602294922
3,144.0,175.07333374023438
3,148.0,174.7057647705078
3,152.0,174.3208465576172
3,156.0,173.88673400878906
3,160.0,173.3529510498047
3,164.0,172.66165161132812
3,168.0,171.76132202148438
3,172.0,170.541748046875
3,176.0,169.00421142578125
3,180.0,167.21243286132812
3,184.0,165.17843627929688
3,188.0,162.9690399169922
3,192.0,160.60867309570312
3,196.0,158.13296508789062
3,200.0,155.59007263183594
3,204.0,152.98672485351562
3,208.0,150.3491973876953
3,212.0,147.71820068359375
3,216.0,145.09022521972656
3,220.0,142.4875946044922
3,224.0,139.93936157226562
3,228.0,137.47305297851562
3,232.0,135.13880920410156
3,236.0,132.97274780273438
3,240.0,131.0221405029297
3,244.0,129.31063842773438
3,248.0,127.81815338134766
3,252.0,126.5353775024414
3,256.0,125.4402084350586
3,260.0,124.48546600341797
3,264.0,123.58401489257812
3,268.0,122.70083618164062
3,272.0,121.81840515136719
3,276.0,120.97852325439453
3,280.0,120.20587921142578
3,284.0,119.52538299560547
3,288.0,118.91343688964844
3,292.0,118.34918212890625
3,296.0,117.8041763305664
3,300.0,117.28268432617188
3,304.0,116.79532623291016
3,308.0,116.36479949951172
3,312.0,115.9915542602539
3,316.0,115.6711654663086
3,320.0,115.40213775634766
