source,name,status,easting,northing,latitude,longitude,grid_ref,distance_miles,aspect_deg,aspect_text,representative_slope_deg,median_local_slope_deg,max_robust_slope_deg,mean_upper_slope_deg,vertical_relief_m,vertical_relief_ft,horizontal_run_m,face_width_m,ridge_length_m,downslope_span_m,connected_area_ha,lip_sharpness_deg,roughness_m,gaps_count,largest_gap_m,percent_face_at_benchmark,whitewool_slope_percent,whitewool_relief_percent,pass_terrain,terrain_score,overall_score,landcover_observation,launch_observation,landing_observation,obstacle_observation,airspace_observation,protected_observation,existing_site_conflict,confidence,reason,polygon_wkt,profile_file,requested_easting,requested_northing,requested_latitude,requested_longitude,measurement_shift_m,named_location_pass,named_location_note
Required reassessment,Pidham Hill,Failed terrain threshold,469790.3600683513,123566.854411741,51.007262487519654,-1.0066425117884978,SU 6979 2356,7.163447223121075,139.90185546875,SE,13.30903148651123,9.275275230407715,31.483640670776367,14.91240119934082,63.472679138183594,208.24370462371826,240.0,850.2178629946429,850.2178629946429,284.65812093790737,10.06910938471111,-7.949566841125488,7.755241394042969,0,0,13.369495851946395,111.40637311213098,114.04925323670541,False,68.33129274988163,68.33129274988163,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,Representative sustained slope 13.3° versus Whitewool 11.9°; relief 63 m versus 56 m; continuous ridge 850 m versus 1196 m; 13% of the broader face reaches the benchmark threshold.,"POLYGON ((469545.532 123518.68933333333, 469565.53866666666 123510.68666666666, 469565.53866666666 123522.69066666666, 469581.544 123514.688, 469597.5493333333 123522.69066666666, 469613.55466666666 123506.68533333333, 469613.55466666666 123518.68933333333, 469637.5626666667 123502.684, 469665.572 123506.68533333333, 469713.588 123590.71333333333, 469765.6053333333 123746.76533333333, 469829.62666666665 123814.788, 469949.6666666667 123846.79866666667, 469977.676 123846.79866666667, 469973.67466666666 123822.79066666667, 469989.68 123822.79066666667, 470165.7386666667 123910.82, 470201.75066666666 123902.81733333334, 470241.764 123870.80666666667, 470237.76266666665 123850.8, 470133.728 123754.768, 469961.67066666664 123658.736, 469889.64666666667 123478.676, 469785.612 123338.62933333333, 469741.59733333334 123306.61866666666, 469677.576 123282.61066666666, 469641.564 123286.612, 469609.55333333334 123306.61866666666, 469593.548 123294.61466666666, 469605.552 123202.584, 469585.5453333333 123174.57466666667, 469553.53466666664 123162.57066666667, 469557.536 123106.552, 469537.5293333333 123062.53733333333, 469561.53733333334 123014.52133333334, 469613.55466666666 123002.51733333334, 469649.56666666665 122886.47866666666, 469653.568 122790.44666666667, 469677.576 122742.43066666667, 469677.576 122714.42133333333, 469701.584 122686.412, 469685.57866666664 122622.39066666667, 469649.56666666665 122586.37866666667, 469573.54133333336 122550.36666666667, 469501.5173333333 122554.368, 469329.46 122622.39066666667, 469281.444 122698.416, 469205.41866666666 122694.41466666666, 469149.4 122666.40533333333, 469001.3506666667 122630.39333333334, 468905.3186666667 122630.39333333334, 468825.292 122650.4, 468813.288 122694.41466666666, 468837.296 122758.436, 468805.2853333333 122766.43866666667, 468793.28133333335 122842.464, 468725.2586666667 122862.47066666666, 468633.228 122998.516, 468617.22266666667 123050.53333333334, 468633.228 123110.55333333333, 468649.23333333334 123102.55066666666, 468653.23466666666 123118.556, 468665.2386666667 123106.552, 468665.2386666667 123122.55733333333, 468681.244 123110.55333333333, 468693.248 123122.55733333333, 468705.252 123110.55333333333, 468709.25333333336 123122.55733333333, 468721.2573333333 123106.552, 468729.26 123118.556, 468741.264 123102.55066666666, 468749.26666666666 123114.55466666666, 468777.276 123090.54666666666, 468785.27866666665 123098.54933333333, 468825.292 123066.53866666666, 468845.29866666667 123074.54133333333, 468941.3306666667 123066.53866666666, 468993.348 123026.52533333334, 469053.368 122926.492, 469113.388 122950.5, 469193.41466666665 122962.504, 469325.45866666664 122962.504, 469373.47466666665 122950.5, 469433.49466666667 122918.48933333333, 469501.5173333333 122830.46, 469485.512 122902.484, 469501.5173333333 123114.55466666666, 469445.4986666667 123118.556, 469453.5013333333 123170.57333333333, 469445.4986666667 123186.57866666667, 469425.492 123186.57866666667, 469425.492 123198.58266666667, 469441.49733333336 123222.59066666667, 469437.496 123278.60933333333, 469485.512 123314.62133333333, 469465.50533333333 123450.66666666667, 469493.5146666667 123494.68133333333, 469525.52533333335 123498.68266666666, 469521.524 123510.68666666666, 469545.532 123518.68933333333), (468669.24 122950.5, 468673.2413333333 122954.50133333333, 468669.24 122954.50133333333, 468669.24 122950.5), (469541.5306666667 123510.68666666666, 469545.532 123506.68533333333, 469545.532 123510.68666666666, 469541.5306666667 123510.68666666666))",profiles/pidham_hill_profile.png,469449.9843957006,122950.0499234011,51.001758,-1.011611,704.4880235807252,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Holybourne slopes,Failed terrain threshold,472415.60398726485,142339.4748136468,51.175716262947674,-0.9654727763118456,SU 7241 4233,5.970681612107967,189.35397338867188,S,12.194999694824219,9.767753601074219,16.305212020874023,12.953109741210938,53.21894836425781,174.6028545513916,240.0,606.3487715818919,606.3487715818919,464.1521507507132,6.966241840177777,-3.9800729751586914,3.329437017440796,0,0,13.214247853281035,102.08110841730736,95.6251004589324,False,66.8442495921812,66.8442495921812,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,Representative sustained slope 12.2° versus Whitewool 11.9°; relief 53 m versus 56 m; continuous ridge 606 m versus 1196 m; 13% of the broader face reaches the benchmark threshold.,"POLYGON ((471982.072 142882.51733333332, 471982.072 142862.51066666667, 471966.06666666665 142874.51466666666, 471966.06666666665 142850.50666666665, 471950.0613333333 142854.508, 471954.0626666667 142830.5, 471942.0586666667 142830.5, 471950.0613333333 142806.492, 471938.05733333336 142806.492, 471934.056 142774.48133333333, 471958.064 142654.44133333332, 472014.08266666665 142558.40933333334, 472090.108 142554.408, 472102.112 142542.404, 472118.11733333336 142418.36266666665, 472146.12666666665 142346.33866666668, 472186.14 142318.32933333333, 472302.1786666667 142294.32133333333, 472374.20266666665 142246.30533333332, 472426.22 142194.288, 472494.2426666667 142078.24933333334, 472634.2893333333 141906.192, 472738.324 141830.16666666666, 472786.34 141822.164, 472798.344 141842.17066666667, 472814.3493333333 141802.15733333334, 472778.33733333333 141794.15466666667, 472782.33866666665 141774.148, 472834.356 141778.14933333333, 472838.35733333335 141814.16133333332, 472866.36666666664 141802.15733333334, 472866.36666666664 141838.16933333332, 472938.3906666667 141898.18933333334, 472942.392 141930.2, 472850.3613333333 141994.22133333332, 472838.35733333335 142014.228, 472774.336 142046.23866666667, 472766.3333333333 142078.24933333334, 472746.32666666666 142090.25333333333, 472658.29733333335 142218.296, 472594.276 142338.336, 472514.24933333334 142426.36533333332, 472410.21466666664 142506.392, 472302.1786666667 142546.40533333333, 472278.17066666664 142614.428, 472282.172 142694.45466666666, 472254.16266666667 142730.46666666667, 472134.1226666667 142794.488, 472094.1093333333 142802.49066666668, 472066.1 142846.50533333333, 472054.096 142842.504, 472046.0933333333 142866.512, 472034.0893333333 142858.50933333332, 472026.08666666667 142878.516, 472014.08266666665 142866.512, 472002.07866666664 142882.51733333332, 471998.0773333333 142866.512, 471982.072 142882.51733333332), (472802.34533333336 141886.18533333333, 472818.3506666667 141870.18, 472822.352 141846.172, 472814.3493333333 141854.17466666666, 472798.344 141846.172, 472802.34533333336 141886.18533333333), (472822.352 141842.17066666667, 472826.35333333333 141846.172, 472826.35333333333 141842.17066666667, 472822.352 141842.17066666667))",profiles/holybourne_slopes_profile.png,473266.0083145746,142830.20570542954,51.18002,-0.95321,981.837220753533,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Henwood Down,Failed terrain threshold,466359.8548100518,122594.35425659752,50.99892404411868,-1.055708185537308,SU 6635 2259,7.49775567750042,140.04315185546875,SE,11.85958194732666,10.157443046569824,14.710469245910645,12.8687744140625,52.806392669677734,173.2493253263855,240.0,567.0781761562102,567.0781761562102,415.6404451901617,4.83842400391111,-5.465720176696777,2.535696268081665,0,0,15.267665952890793,99.27341540343059,94.88381035546954,False,56.17866764872198,56.17866764872198,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,Representative sustained slope 11.9° versus Whitewool 11.9°; relief 53 m versus 56 m; continuous ridge 567 m versus 1196 m; 15% of the broader face reaches the benchmark threshold.,"POLYGON ((466540.63066666666 123129.86933333334, 466624.65866666666 123133.87066666667, 466632.66133333335 123109.86266666667, 466544.632 122897.792, 466512.6213333333 122645.708, 466412.588 122449.64266666667, 466372.5746666667 122293.59066666667, 466352.568 122265.58133333334, 466324.5586666667 122261.58, 466268.54 122293.59066666667, 466224.52533333335 122353.61066666666, 466232.528 122473.65066666667, 466256.536 122573.684, 466304.552 122693.724, 466364.572 122797.75866666666, 466388.58 122873.784, 466384.57866666664 122925.80133333334, 466412.588 123001.82666666666, 466460.604 123065.848, 466540.63066666666 123129.86933333334))",profiles/henwood_down_profile.png,466148.76790911553,122021.74862233261,50.9938,-1.05882,610.2744400176009,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Barn Lane and Kingswood Rise,Failed terrain threshold,465853.35474751476,134625.10464016066,51.10714999508112,-1.060739988156357,SU 6585 3462,0.4913589013439036,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,465853.35474751476,134625.10464016066,51.10715,-1.06074,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Bighton Hill,Failed terrain threshold,463109.7094835612,132702.27498182247,51.090169995067654,-1.100259988185225,SU 6310 3270,2.5094652925387706,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,463109.7094835612,132702.27498182247,51.09017,-1.10026,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Neatham Down,Failed terrain threshold,473533.4134525778,139328.0842357881,51.14849999511413,-0.9500999880793896,SU 7353 3932,5.172181265813306,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,473533.4134525778,139328.0842357881,51.1485,-0.9501,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Longwood Warren,Failed terrain threshold,454897.650274403,126058.83000793823,51.03127999502132,-1.218509988276505,SU 5489 2605,9.045186504274577,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,454897.650274403,126058.83000793823,51.03128,-1.21851,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Gander Down,Failed terrain threshold,455065.11941223603,126863.60297042338,51.03849999502672,-1.2159999882712351,SU 5506 2686,8.672582572620593,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,455065.11941223603,126863.60297042338,51.0385,-1.216,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Axford slopes,Failed terrain threshold,460001.5738780718,127474.57059296279,51.04349999503195,-1.1454999882335835,SU 6000 2747,6.078932769865735,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,460001.5738780718,127474.57059296279,51.0435,-1.1455,0.0,False,Measured face remains within 700 m of the requested survey point.
Required reassessment,Tunworth Down,Failed terrain threshold,469300.00084088277,148999.99947507813,51.23598367552898,-1.0087499607756396,SU 6930 4899,9.063606341302433,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,False,0.0,0.0,Not yet checked,Terrain-derived only,Terrain-derived only,Not yet checked,Not yet checked,Not yet checked,None identified,Medium,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.,,,469300.00084088277,148999.99947507813,51.235983680350266,-1.0087499727168678,0.0,False,Measured face remains within 700 m of the requested survey point.
