name,status,latitude,longitude,grid_ref,distance_miles,aspect_deg,aspect_text,representative_slope_deg,median_local_slope_deg,max_robust_slope_deg,vertical_relief_m,vertical_relief_ft,horizontal_run_m,face_width_m,ridge_length_m,percent_face_at_benchmark,whitewool_slope_percent,whitewool_relief_percent,terrain_score,measurement_shift_m,named_location_pass,reason
Pidham Hill,Failed terrain threshold,51.007262487519654,-1.0066425117884978,SU 6979 2356,7.163447223121075,139.90185546875,SE,13.30903148651123,9.275275230407715,31.483640670776367,63.472679138183594,208.24370462371826,240.0,850.2178629946429,850.2178629946429,13.369495851946395,111.40637311213098,114.04925323670541,68.33129274988163,704.4880235807252,False,Representative sustained slope 13.3° versus Whitewool 11.9°; relief 63 m versus 56 m; continuous ridge 850 m versus 1196 m; 13% of the broader face reaches the benchmark threshold.
Holybourne slopes,Failed terrain threshold,51.175716262947674,-0.9654727763118456,SU 7241 4233,5.970681612107967,189.35397338867188,S,12.194999694824219,9.767753601074219,16.305212020874023,53.21894836425781,174.6028545513916,240.0,606.3487715818919,606.3487715818919,13.214247853281035,102.08110841730736,95.6251004589324,66.8442495921812,981.837220753533,False,Representative sustained slope 12.2° versus Whitewool 11.9°; relief 53 m versus 56 m; continuous ridge 606 m versus 1196 m; 13% of the broader face reaches the benchmark threshold.
Henwood Down,Failed terrain threshold,50.99892404411868,-1.055708185537308,SU 6635 2259,7.49775567750042,140.04315185546875,SE,11.85958194732666,10.157443046569824,14.710469245910645,52.806392669677734,173.2493253263855,240.0,567.0781761562102,567.0781761562102,15.267665952890793,99.27341540343059,94.88381035546954,56.17866764872198,610.2744400176009,False,Representative sustained slope 11.9° versus Whitewool 11.9°; relief 53 m versus 56 m; continuous ridge 567 m versus 1196 m; 15% of the broader face reaches the benchmark threshold.
Barn Lane and Kingswood Rise,Failed terrain threshold,51.10714999508112,-1.060739988156357,SU 6585 3462,0.4913589013439036,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Bighton Hill,Failed terrain threshold,51.090169995067654,-1.100259988185225,SU 6310 3270,2.5094652925387706,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Neatham Down,Failed terrain threshold,51.14849999511413,-0.9500999880793896,SU 7353 3932,5.172181265813306,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Longwood Warren,Failed terrain threshold,51.03127999502132,-1.218509988276505,SU 5489 2605,9.045186504274577,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Gander Down,Failed terrain threshold,51.03849999502672,-1.2159999882712351,SU 5506 2686,8.672582572620593,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Axford slopes,Failed terrain threshold,51.04349999503195,-1.1454999882335835,SU 6000 2747,6.078932769865735,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
Tunworth Down,Failed terrain threshold,51.23598367552898,-1.0087499607756396,SU 6930 4899,9.063606341302433,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,False,No contiguous south-east to south-west face in the 3 km verification window met the sustained-slope and relief pre-filter.
