easting,northing,coarse_local_slope,coarse_sustained_slope,coarse_p65_sustained_slope,coarse_relief_m,coarse_profile_drop240_m,coarse_width_m,coarse_downslope_span_m,coarse_area_ha,coarse_aspect_deg,strict_profile_count,strict_profile_fraction,tile
510799.1175111803,148806.86579014853,13.002127647399902,13.254631042480469,13.804412841796875,96.88639831542969,57.847896575927734,2960.9783113002777,672.1461522579193,115.27,171.28802,147,0.91875,E504000_N144000
463176.93823713274,106717.09581921439,11.301944732666016,10.687955856323242,11.609488487243652,68.53225708007812,45.279640197753906,3104.3444257229567,559.9325528554618,68.62,182.19821,69,0.43125,E456000_N104000
505537.22761479934,149067.0958279792,9.996776580810547,11.00210952758789,11.515809059143066,79.35332489013672,45.9810676574707,2714.700134024024,650.6716375797987,110.87,186.34651,73,0.45625,E504000_N144000
507745.6938020814,148650.32759806004,10.818781852722168,11.954174041748047,12.447229385375977,92.62911987304688,50.191158294677734,2191.5928249061108,620.5460070073605,86.57,187.58615,116,0.725,E504000_N144000
472650.1452155153,125458.32655051588,15.084814071655273,15.240739822387695,16.00010108947754,99.55776977539062,69.83592224121094,1829.551737010479,508.4253913164139,43.14,172.0727,160,1.0,E472000_N120000
510259.29171614,142918.82714588745,9.897160530090332,10.896997451782227,12.110601425170898,110.29287719726562,43.133262634277344,1655.0176955759525,786.4133897423744,52.97,183.4851,76,0.475,E504000_N136000
474154.11651963816,127016.86589616697,18.815013885498047,14.946539878845215,16.3929443359375,117.8172607421875,66.26927185058594,1286.083758994937,590.54752856493,34.73,171.64789,147,0.91875,E472000_N120000
473447.1897005578,126654.80124273623,25.094093322753906,16.71328353881836,18.584640502929688,119.79473114013672,80.210205078125,918.1949503347278,378.85479897260666,19.19,151.29803,133,0.83125,E472000_N120000
502866.3920767341,148206.5874832737,12.623254776000977,10.651540756225586,12.061264038085938,105.72581481933594,44.74720001220703,1301.81803451851,665.210969094187,37.05,180.89473,74,0.4625,E496000_N144000
489901.79406351375,113542.82216399055,11.135017395019531,12.17315673828125,12.878972053527832,95.99118041992188,52.15937423706055,1486.6632890701294,653.3605355024338,47.26,177.57983,110,0.6875,E488000_N112000
437370.045378537,161427.65031702135,12.886343002319336,13.1543550491333,14.202646255493164,98.55032348632812,56.08123016357422,1071.5197438001633,540.8741274476051,32.1,185.12418,123,0.76875,E432000_N160000
482245.15360300324,110999.03743325477,10.630797386169434,14.464361190795898,16.011627197265625,108.73274230957031,64.64366149902344,860.4149536043406,789.60555779282,25.93,189.6973,128,0.8,E480000_N104000
487715.74935877335,130918.41181522523,11.537389755249023,10.834421157836914,11.972871780395508,75.4915771484375,45.72016143798828,1473.4148675948381,500.89725099503994,39.36,177.27185,71,0.44375,E480000_N128000
500942.8866533488,138780.20091985457,10.535658836364746,10.177755355834961,11.746877670288086,100.3111801147461,42.01436233520508,992.6872304081917,678.5283622145653,29.81,147.68097,64,0.4,E496000_N136000
471377.71182389907,119835.51431527974,11.064836502075195,14.447186470031738,15.266715049743652,110.01960754394531,63.39954376220703,744.7256669402122,800.7132709026337,13.38,184.57483,150,0.9375,E464000_N112000
494230.3518019,114608.74527008343,10.050931930541992,12.617118835449219,13.9320707321167,112.07625579833984,55.20680236816406,704.1765761375427,713.5948330163956,20.38,167.17035,116,0.725,E488000_N112000
431644.64531445125,156418.66936027413,13.711202621459961,12.871137619018555,14.445584297180176,94.0120849609375,56.26099395751953,934.2230659723282,484.85887974500656,29.35,179.11334,118,0.7375,E424000_N152000
472439.22824236,119010.74785255274,10.618542671203613,11.915105819702148,12.342992782592773,82.98446655273438,52.08074951171875,1206.354940533638,664.6680796146393,25.15,185.00891,120,0.75,E472000_N112000
471767.70554879284,124899.09598846518,13.666396141052246,15.76536750793457,16.277347564697266,93.06824493408203,74.61224365234375,899.4881111383438,443.20539951324463,20.23,152.92853,149,0.93125,E464000_N120000
468301.4296058796,122458.62463684837,12.013484954833984,9.998069763183594,11.487353324890137,81.18455505371094,43.22783279418945,1147.8535060584545,482.7383168786764,23.1,201.42148,64,0.4,E464000_N120000
