f,lat,lon,alt_m,gain_m,climb_ms
0,51.37295,-1.85940,263.0,211.0,0.364
0,51.37418,-1.85100,429.0,1238.0,3.103
0,51.41292,-1.75973,1366.0,165.0,1.320
0,51.47990,-1.61417,987.0,654.0,2.449
0,51.53707,-1.52937,1100.0,399.0,1.228
0,51.60100,-1.44007,1148.0,551.0,1.416
0,51.64232,-1.38885,1411.0,226.0,1.299
0,51.72353,-1.25333,1227.0,228.0,0.987
0,51.81988,-1.08150,1215.0,359.0,2.316
0,51.86920,-0.97657,884.0,465.0,1.906
0,51.90533,-0.91893,1188.0,169.0,1.090
0,51.97037,-0.83897,1000.0,339.0,0.620
0,52.07113,-0.77503,881.0,243.0,0.764
1,51.51757,-1.70018,257.0,1000.0,0.681
1,51.42035,-1.53733,811.0,247.0,0.490
2,50.96157,-0.86478,230.0,520.0,1.034
3,51.36120,-1.48508,441.0,548.0,1.785
3,51.31520,-1.42907,1116.0,338.0,0.788
3,51.26233,-1.35755,909.0,691.0,0.989
3,51.23328,-1.27800,1176.0,371.0,0.956
3,51.21082,-1.22152,1091.0,389.0,1.365
3,51.17498,-1.16373,866.0,422.0,1.581
3,51.14267,-1.10247,780.0,453.0,1.224
3,51.10472,-1.05695,827.0,218.0,0.703
3,51.03258,-0.99360,352.0,438.0,0.989
3,50.95350,-0.92238,510.0,866.0,1.047
3,50.92220,-0.73715,495.0,818.0,0.839
3,50.88473,-0.64965,998.0,263.0,0.774
3,50.89490,-0.54352,310.0,587.0,0.660
3,50.88638,-0.50133,630.0,735.0,1.450
3,50.89515,-0.41595,579.0,703.0,1.916
3,50.89978,-0.32132,692.0,607.0,1.958
4,51.10878,-2.27165,304.0,888.0,0.541
4,51.14672,-2.24895,1126.0,175.0,0.921
4,51.20100,-2.24015,751.0,581.0,0.960
4,51.29655,-2.19145,443.0,925.0,1.159
4,51.36103,-2.17123,1222.0,333.0,0.957
4,51.44650,-2.16063,978.0,274.0,0.825
4,51.54410,-2.11773,731.0,329.0,0.433
4,51.61993,-2.12382,379.0,643.0,0.777
4,51.65263,-2.11940,1029.0,494.0,1.525
4,51.75023,-2.09445,1042.0,454.0,0.578
4,51.84632,-2.06398,1096.0,414.0,0.558
4,51.93367,-2.05193,1336.0,213.0,0.910
