k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
t,0,1,51.37295,-1.8594,263,1,1220.1267104402814,1220.1267104402814,1171.9908959222953,1171.9908959222953,284.7255452129709,1285.042973808287,251.20636157677666,1774.4404346127326,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,0,1,52.07273,-0.79805,271,1,530.3628100775996,634.1831757089055,414.4063811560142,628.0580362733737,470.7783478001523,404.5262219508932,530.9644051930499,580.1123687616018,0,0,0,0,0,0,0,0,0,0,1,1,0,0
c,0,1,52.07135,-0.796,233,1,638.3990997660967,675.7283256375093,547.4776030205993,631.9072599038909,675.9370196019621,523.3205501330181,505.76918557931884,786.0481606458507,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c,0,1,52.07475,-0.79948,366,1,300.0489388426402,466.434919197873,215.994684293209,463.62053277487166,283.5388048958513,211.14391461452115,704.9245773325217,383.1938358024538,0,0,0,0,1,1,0,0,1,0,1,1,0,1
t,0,2,51.37418,-1.851,429,1,1548.8547690202415,1120.0794206966161,1038.231106240664,1038.231106240664,18.340298644404346,1307.4216255816475,212.5294151825741,1780.507418546929,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,0,2,52.07653,-0.79812,431,1,324.81996585596147,377.2173629485974,273.8223089557061,276.0076229623345,348.23769711299883,269.62213257894336,735.4797274602254,458.075317896751,0,0,0,0,1,1,1,0,0,0,1,1,0,1
c,0,2,52.077,-0.79563,439,1,265.61242064470207,245.53897640751273,173.42794776685363,173.42794776685363,525.701594747277,177.2001593393137,781.912739143084,393.2741679161492,0,0,0,1,1,1,1,0,0,0,1,1,0,1
c,0,2,52.07682,-0.79278,509,1,173.25004951594252,172.7332874711353,2.8834419299498575,172.47797206017668,715.1336628348048,17.509555852942068,696.6594210707523,275.55115423286566,0,1,0,1,1,1,1,1,0,0,1,1,0,1
t,0,3,51.41292,-1.75973,1366,0,229.8183763682568,596.8164380097826,68.79153064083367,584.4991960542409,7.998896922432087,7.998896922432085,7.998896922432085,408.28435677951154,0,1,1,1,1,0,0,1,1,1,1,1,1,1
c,0,3,51.42985,-1.73388,1368,0,257.7979555614228,297.0158319529213,182.441695272777,255.8270579983863,26.23474013004122,274.50103375843906,29.761564762308595,1082.4091737075782,0,0,0,1,1,1,1,0,1,1,1,1,0,1
c,0,3,51.4323,-1.72288,1373,0,413.1055742968007,540.0191631130925,64.38973977098841,540.0191631130925,50.56493249162263,357.33252864943887,102.28549860204161,1479.599201979709,1,0,1,0,1,0,0,1,1,1,1,1,1,1
c,0,3,51.43232,-1.71835,1357,0,660.3381898618738,824.3983059761008,243.230096691915,819.0241488684505,17.89103744295146,624.2789320290194,75.4511552360164,1545.586897360055,1,0,1,0,0,0,0,0,1,1,0,1,0,1
t,0,4,51.4799,-1.61417,987,0,291.5096203484257,295.2918271799791,253.9816631154627,253.9816631154627,60.94936372825015,237.42825837218848,187.91046753954757,389.45841681093987,1,0,1,1,1,1,1,0,1,1,1,1,0,1
c,0,4,51.52298,-1.55255,1180,0,248.62582569282972,374.9129773315909,10.978302106662408,158.41823642088542,11.17493310693518,20.013780502085748,351.60485845831784,360.41937736624504,0,0,1,1,1,1,1,1,1,0,1,1,1,1
c,0,4,51.5197,-1.55772,1249,0,178.12084058636557,169.46213790290432,164.35198424151332,164.35198424151332,10.764528066302388,275.8667474463955,10.764528066302384,770.3537787087197,0,0,1,1,1,1,1,0,1,1,1,1,0,1
c,0,4,51.43168,-1.70293,1244,0,492.69249912966046,676.0756179350836,308.02719800157433,667.725090201913,96.65611450810964,530.8424313505366,492.6667017983671,699.3774331112097,1,0,1,0,1,0,0,0,1,0,0,1,0,1
t,0,5,51.53707,-1.52937,1100,0,122.10923049577622,593.0557091264814,18.056165201729225,556.1665540788972,561.121735374172,898.4699962379267,74.47891022067773,2063.3156944609705,0,0,0,1,1,0,0,1,0,1,0,0,0,1
c,0,5,51.5165,-1.56238,1315,0,640.4898204198439,444.01618432625315,443.89756662606527,443.89756662606527,52.361738568976286,709.7939512997036,107.98901901537917,1222.450023375841,1,0,1,0,0,1,0,0,1,1,0,1,0,1
c,0,5,51.85865,-1.00133,1133,0,773.7437271291666,486.0912592401429,144.84160274925145,191.66636753749867,507.50791118769376,607.6585893984629,383.58275322563793,2249.7538977724003,0,0,0,0,0,1,1,1,0,0,0,0,0,0
c,0,5,51.51335,-1.56673,1371,0,811.536649741082,755.1691587647584,755.1238149231428,755.1238149231428,30.02182091485598,742.0909183158425,303.79457831026247,1669.9364592607424,1,0,1,0,0,0,0,0,1,0,0,1,0,1
t,0,6,51.601,-1.44007,1148,0,174.27523485255765,527.825697259288,123.45609891200243,526.408692659922,20.4576227816802,167.65975270893176,151.7587561542446,1250.4700259052918,1,0,0,1,1,0,0,1,1,1,1,1,1,1
c,0,6,51.59255,-1.46302,1357,0,513.5778907259729,572.4088358509997,272.57150528437836,272.57150528437836,22.594920586163113,434.0937883105609,22.188189707405574,614.9329869445763,1,0,1,0,0,0,1,0,1,1,1,1,0,1
c,0,6,51.59007,-1.46692,1399,0,360.37689935071273,744.613892617044,58.89477070370443,647.4177663066545,56.17472356799449,350.58200415863627,243.28027204690156,517.8573774873543,1,0,1,0,1,0,0,1,1,1,1,1,1,1
c,0,6,51.85643,-1.00775,1214,0,1189.4591813496143,136.22005017509494,136.22005017509494,136.22005017509494,785.9576416640227,1004.4481084512213,302.100713958549,2037.597497958409,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t,0,7,51.64232,-1.38885,1411,0,594.4209197709923,509.66690434209215,72.4241734818309,72.4241734818309,123.32561573857633,520.0925782152825,667.524156501203,1013.8104687860671,0,0,1,0,0,0,1,1,1,0,0,1,1,1
c,0,7,51.58742,-1.47078,1429,0,411.6558590122047,571.9913423753184,199.60572214416777,495.37925296943405,151.46041697261816,359.07145203418514,262.8828758329057,653.8316036281237,0,0,1,0,1,0,0,0,1,1,1,1,0,1
c,0,7,51.68303,-1.32165,1444,0,82.57596589988397,14.64036599423499,14.64036599423499,14.64036599423499,1.2465755196431851,1.2465755196431847,84.8557696879853,1154.0469864333947,0,1,1,1,1,1,1,1,1,1,1,1,1,1
c,0,7,51.51055,-1.57153,1412,0,1036.0445200025288,1024.1048345165987,768.6636984863076,1024.1048345165987,382.02014931239097,973.0516284458024,235.78124825544793,2100.2711143595034,0,0,0,0,0,0,0,0,0,1,0,0,0,1
t,0,8,51.72353,-1.25333,1227,0,149.35934182214038,210.92261953917117,90.2865437925948,137.78707997926628,216.0374466618548,34.912753954889304,27.80311567018067,963.2437250406138,0,0,0,1,1,1,1,1,1,1,1,1,1,1
c,0,8,51.8544,-1.01322,1271,0,1299.6549443112772,441.0235772830025,193.4632969626905,197.0295608434709,1122.0058409521757,1400.3607752401638,117.17181038607055,1906.4646562153148,0,0,0,0,0,1,1,0,0,1,0,1,0,1
c,0,8,51.95557,-0.85198,1232,0,739.7433318518185,932.0010522031968,491.3895784992872,610.7288720496898,6.594706039543602,1320.5654077951026,6.594706039543601,1461.135504441181,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,0,8,51.85248,-1.0188,1316,0,905.6320255315562,870.2066235310785,135.76713842656665,211.64200597419267,1151.5881511792113,1108.6660597244572,190.3186684925484,1660.8851162226235,0,0,0,0,0,0,1,1,0,1,0,1,0,1
t,0,9,51.81988,-1.0815,1215,0,581.1510820788433,542.233928988482,150.53625026265988,150.53625026265988,91.70160014524636,507.2389347727025,341.67293892461726,947.4945259269415,1,0,1,0,0,0,1,0,1,0,0,1,0,1
c,0,9,51.8105,-1.10107,1348,0,168.4855429941881,128.27910767441512,6.585123459760183,6.585123459760183,17.648264110895212,228.62506742098222,46.893890000578956,462.75491042243203,0,0,0,1,1,1,1,1,1,1,1,1,1,1
