k,f,e,lat,lon,alt,low
t,0,1,51.37295,-1.85940,263,1
c,0,1,52.07273,-0.79805,271,1
c,0,1,52.07135,-0.79600,233,1
c,0,1,52.07475,-0.79948,366,1
t,0,2,51.37418,-1.85100,429,1
c,0,2,52.07653,-0.79812,431,1
c,0,2,52.07700,-0.79563,439,1
c,0,2,52.07682,-0.79278,509,1
t,0,3,51.41292,-1.75973,1366,0
c,0,3,51.42985,-1.73388,1368,0
c,0,3,51.43230,-1.72288,1373,0
c,0,3,51.43232,-1.71835,1357,0
t,0,4,51.47990,-1.61417,987,0
c,0,4,51.52298,-1.55255,1180,0
c,0,4,51.51970,-1.55772,1249,0
c,0,4,51.43168,-1.70293,1244,0
t,0,5,51.53707,-1.52937,1100,0
c,0,5,51.51650,-1.56238,1315,0
c,0,5,51.85865,-1.00133,1133,0
c,0,5,51.51335,-1.56673,1371,0
t,0,6,51.60100,-1.44007,1148,0
c,0,6,51.59255,-1.46302,1357,0
c,0,6,51.59007,-1.46692,1399,0
c,0,6,51.85643,-1.00775,1214,0
t,0,7,51.64232,-1.38885,1411,0
c,0,7,51.58742,-1.47078,1429,0
c,0,7,51.68303,-1.32165,1444,0
c,0,7,51.51055,-1.57153,1412,0
t,0,8,51.72353,-1.25333,1227,0
c,0,8,51.85440,-1.01322,1271,0
c,0,8,51.95557,-0.85198,1232,0
c,0,8,51.85248,-1.01880,1316,0
t,0,9,51.81988,-1.08150,1215,0
c,0,9,51.81050,-1.10107,1348,0
c,0,9,51.95210,-0.85472,1278,0
c,0,9,52.02232,-0.80842,1200,0
t,0,10,51.86920,-0.97657,884,0
c,0,10,52.08092,-0.77440,877,0
c,0,10,52.08013,-0.77720,815,0
c,0,10,52.07917,-0.77963,803,0
t,0,11,51.90533,-0.91893,1188,0
c,0,11,52.02628,-0.80658,1143,0
c,0,11,52.05502,-0.77278,1211,0
c,0,11,52.04087,-0.78993,1231,0
t,0,12,51.97037,-0.83897,1000,0
c,0,12,52.03035,-0.80373,1090,0
c,0,12,52.02982,-0.80547,1123,0
c,0,12,52.05833,-0.77295,1142,0
t,0,13,52.07113,-0.77503,881,0
c,0,13,52.07828,-0.78165,750,0
c,0,13,52.07797,-0.78433,718,0
c,0,13,52.07772,-0.78732,673,0
t,1,1,51.51757,-1.70018,257,1
c,1,1,51.35873,-1.48440,258,1
c,1,1,51.35870,-1.48480,267,1
c,1,1,51.35945,-1.48175,272,1
t,1,2,51.42035,-1.53733,811,0
c,1,2,51.37298,-1.47620,810,0
c,1,2,51.37773,-1.47945,805,0
c,1,2,51.38802,-1.48128,827,0
t,2,1,50.96157,-0.86478,230,1
c,2,1,50.96188,-0.85533,240,1
c,2,1,50.96193,-0.85870,221,1
c,2,1,50.96085,-0.86232,204,1
t,3,1,51.36120,-1.48508,441,1
c,3,1,51.36130,-1.49200,973,1
c,3,1,51.04708,-0.99970,670,1
c,3,1,51.26738,-1.37292,959,1
t,3,2,51.31520,-1.42907,1116,0
c,3,2,51.28578,-1.38722,1125,0
c,3,2,51.28775,-1.39193,1166,0
c,3,2,51.27378,-1.37535,1079,0
t,3,3,51.26233,-1.35755,909,0
c,3,3,51.27042,-1.37223,1024,0
c,3,3,51.28123,-1.37570,1010,0
c,3,3,51.28285,-1.37758,1016,0
t,3,4,51.23328,-1.27800,1176,0
c,3,4,51.18675,-1.18610,1191,0
c,3,4,51.18378,-1.18377,1138,0
c,3,4,51.16718,-1.15633,1165,0
t,3,5,51.21082,-1.22152,1091,0
c,3,5,51.15890,-1.14595,1101,0
c,3,5,51.15677,-1.14098,1076,0
c,3,5,51.16128,-1.14915,1118,0
t,3,6,51.17498,-1.16373,866,0
c,3,6,51.14900,-1.12178,858,0
c,3,6,51.15090,-1.12678,914,0
c,3,6,51.14637,-1.11735,789,0
t,3,7,51.14267,-1.10247,780,0
c,3,7,51.05143,-1.00662,800,0
c,3,7,51.04922,-1.00333,740,0
c,3,7,50.97105,-0.93047,811,0
t,3,8,51.10472,-1.05695,827,0
c,3,8,51.05328,-1.01057,877,0
c,3,8,51.05577,-1.01360,897,0
c,3,8,51.05852,-1.01643,932,0
t,3,9,51.03258,-0.99360,352,1
c,3,9,50.89232,-0.54892,331,1
c,3,9,50.89132,-0.55238,404,1
c,3,9,50.89283,-0.54672,299,1
t,3,10,50.95350,-0.92238,510,1
c,3,10,50.96837,-0.92773,749,1
c,3,10,50.88745,-0.56475,547,1
c,3,10,50.88933,-0.56058,547,1
t,3,11,50.92220,-0.73715,495,1
c,3,11,50.89033,-0.55672,472,1
c,3,11,50.88633,-0.56880,593,1
c,3,11,50.88507,-0.57282,662,1
t,3,12,50.88473,-0.64965,998,0
c,3,12,50.88317,-0.59783,1012,0
c,3,12,50.88345,-0.59247,950,0
c,3,12,50.92980,-0.77402,1017,0
t,3,13,50.89490,-0.54352,310,1
c,3,13,50.91212,-0.06843,316,1
c,3,13,50.90932,-0.06997,399,1
c,3,13,50.91553,-0.06695,213,1
t,3,14,50.88638,-0.50133,630,1
c,3,14,50.88452,-0.57780,727,1
c,3,14,50.89395,-0.09880,629,1
c,3,14,50.89677,-0.09350,602,1
t,3,15,50.89515,-0.41595,579,1
c,3,15,50.90148,-0.08190,547,1
c,3,15,50.89892,-0.08820,545,1
c,3,15,50.90353,-0.07870,491,1
t,3,16,50.89978,-0.32132,692,1
c,3,16,50.89098,-0.10340,696,1
c,3,16,50.88818,-0.10722,704,1
c,3,16,50.88582,-0.11190,744,1
t,4,1,51.10878,-2.27165,304,1
c,4,1,51.09875,-2.27498,363,1
c,4,1,51.09705,-2.27720,373,1
c,4,1,51.10040,-2.27727,375,1
t,4,2,51.14672,-2.24895,1126,0
c,4,2,51.17383,-2.25287,1127,0
c,4,2,51.17825,-2.25417,1081,0
c,4,2,51.24295,-2.21628,1109,0
t,4,3,51.20100,-2.24015,751,0
c,4,3,51.27308,-2.20007,762,0
c,4,3,51.27387,-2.19682,737,0
c,4,3,51.26880,-2.20088,805,0
t,4,4,51.29655,-2.19145,443,1
c,4,4,51.10502,-2.27795,452,1
c,4,4,51.10360,-2.27728,405,1
c,4,4,51.27740,-2.19522,684,1
t,4,5,51.36103,-2.17123,1222,0
c,4,5,51.41287,-2.17027,1215,0
c,4,5,51.40863,-2.17062,1265,0
c,4,5,51.41710,-2.16883,1177,0
t,4,6,51.44650,-2.16063,978,0
c,4,6,51.48840,-2.14127,959,0
c,4,6,51.48442,-2.14338,1023,0
c,4,6,51.49220,-2.14012,916,0
t,4,7,51.54410,-2.11773,731,0
c,4,7,51.60013,-2.11075,729,0
c,4,7,51.59582,-2.11048,806,0
c,4,7,51.60423,-2.11147,652,0
t,4,8,51.61993,-2.12382,379,1
c,4,8,51.10215,-2.27652,382,1
c,4,8,52.00405,-2.10897,235,1
c,4,8,52.00802,-2.10503,560,1
t,4,9,51.65263,-2.11940,1029,0
c,4,9,51.48028,-2.14538,1069,0
c,4,9,51.71248,-2.11095,1174,0
c,4,9,51.71500,-2.10838,1182,0
t,4,10,51.75023,-2.09445,1042,0
c,4,10,51.73357,-2.09997,1176,0
c,4,10,51.73655,-2.10198,1179,0
c,4,10,51.71750,-2.10443,1182,0
t,4,11,51.84632,-2.06398,1096,0
c,4,11,51.83268,-2.06082,1208,0
c,4,11,52.00878,-2.05238,1048,0
c,4,11,51.82852,-2.06072,1242,0
t,4,12,51.93367,-2.05193,1336,0
c,4,12,51.81655,-2.06253,1335,0
c,4,12,51.82040,-2.06175,1313,0
c,4,12,51.91605,-2.05492,1433,0
