g,k,f,lat,lon
a,t,0,51.37295,-1.8594
a,t,0,51.37418,-1.851
a,t,0,51.41292,-1.75973
a,t,0,51.4799,-1.61417
a,t,0,51.53707,-1.52937
a,t,0,51.601,-1.44007
a,t,0,51.64232,-1.38885
a,t,0,51.72353,-1.25333
a,t,0,51.81988,-1.0815
a,t,0,51.8692,-0.97657
a,t,0,51.90533,-0.91893
a,t,0,51.97037,-0.83897
a,t,0,52.07113,-0.77503
a,c,0,51.4314,-1.7055
a,c,0,51.40342,-1.7967
a,c,0,52.07962,-0.77855
a,c,0,51.59007,-1.46692
a,c,0,51.51203,-1.56928
a,c,0,51.4323,-1.7205
a,c,0,51.51335,-1.56673
a,c,0,51.9521,-0.85472
a,c,0,51.43108,-1.70998
a,c,0,51.51815,-1.56008
a,c,0,51.40602,-1.78695
a,c,0,52.07273,-0.79805
a,c,0,52.06003,-0.77202
a,c,0,51.57853,-1.48473
a,c,0,51.85535,-1.0104
a,c,0,52.05323,-0.77122
a,c,0,52.07653,-0.79812
a,c,0,51.50608,-1.57808
a,c,0,51.40768,-1.78162
a,c,0,51.6596,-1.36505
a,c,0,51.67048,-1.33953
a,c,0,51.7906,-1.15777
a,c,0,51.40143,-1.8034
a,c,0,51.66075,-1.36202
a,c,0,52.0769,-0.79123
a,c,0,51.8908,-0.94848
a,c,0,51.67975,-1.32625
a,c,0,52.04585,-0.78492
a,c,0,52.08058,-0.77587
a,c,0,51.85337,-1.01592
a,c,0,51.7789,-1.18688
a,c,0,51.78995,-1.16085
a,c,0,51.52483,-1.55
a,c,0,51.80937,-1.1031
a,c,0,51.94357,-0.86457
a,c,0,51.79248,-1.15163
a,c,0,51.66207,-1.3586
a,c,0,51.503,-1.58345
a,c,0,51.88935,-0.95102
a,c,0,52.00645,-0.81142
a,c,0,51.83988,-1.04993
a,c,0,51.95038,-0.85657
a,c,0,51.77715,-1.19173
a,c,0,52.04503,-0.78728
a,c,0,52.05833,-0.77295
a,c,0,52.02232,-0.80842
a,c,0,51.66737,-1.3451
a,c,0,51.50762,-1.57578
a,c,0,52.03035,-0.80373
a,c,0,52.08013,-0.7772
a,c,0,51.80702,-1.10728
a,c,0,51.62712,-1.39898
a,c,0,51.80818,-1.10513
a,c,0,52.07867,-0.78052
a,c,0,51.80208,-1.11727
a,c,0,52.07205,-0.7969
a,c,0,51.80583,-1.10983
a,c,0,51.39543,-1.8117
a,c,0,51.49843,-1.58998
a,c,0,51.43213,-1.7257
a,c,0,51.50447,-1.58115
a,c,0,51.8598,-0.99875
a,c,0,51.40287,-1.79895
a,c,0,51.95368,-0.85285
a,c,0,51.51055,-1.57153
l,t,0,51.37295,-1.8594
l,t,0,51.37418,-1.851
l,c,0,52.07205,-0.7969
l,c,0,52.07653,-0.79812
l,c,0,52.06928,-0.79663
l,c,0,52.07745,-0.78873
l,c,0,52.07772,-0.78732
l,c,0,52.07567,-0.7994
l,c,0,52.0769,-0.79123
l,c,0,52.07682,-0.79278
l,c,0,52.0769,-0.79693
l,c,0,52.07135,-0.796
a,t,1,51.51757,-1.70018
a,t,1,51.42035,-1.53733
a,c,1,51.35757,-1.46623
a,c,1,51.36748,-1.46682
a,c,1,51.3591,-1.47698
a,c,1,51.38107,-1.48263
a,c,1,51.35925,-1.47822
a,c,1,51.36568,-1.4653
a,c,1,51.36063,-1.48123
a,c,1,51.35945,-1.48175
a,c,1,51.36402,-1.46382
a,c,1,51.35437,-1.46478
l,t,1,51.51757,-1.70018
l,c,1,51.352,-1.4608
l,c,1,51.35695,-1.46367
l,c,1,51.35743,-1.46063
l,c,1,51.35848,-1.47445
l,c,1,51.35773,-1.46977
a,t,2,50.96157,-0.86478
a,c,2,50.96115,-0.8528
a,c,2,50.9598,-0.86198
a,c,2,50.9595,-0.85057
a,c,2,50.96058,-0.85165
a,c,2,50.96148,-0.86023
l,t,2,50.96157,-0.86478
l,c,2,50.96067,-0.85938
l,c,2,50.9591,-0.86277
l,c,2,50.96058,-0.85165
l,c,2,50.96115,-0.8528
l,c,2,50.95898,-0.86447
a,t,3,51.3612,-1.48508
a,t,3,51.3152,-1.42907
a,t,3,51.26233,-1.35755
a,t,3,51.23328,-1.278
a,t,3,51.21082,-1.22152
a,t,3,51.17498,-1.16373
a,t,3,51.14267,-1.10247
a,t,3,51.10472,-1.05695
a,t,3,51.03258,-0.9936
a,t,3,50.9535,-0.92238
a,t,3,50.9222,-0.73715
